Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 0.09539670439218635
48 , 2020-02-18 , 0.3344368732774285
49 , 2020-02-19 , 0.20903536034715137
50 , 2020-02-20 , -0.1926159620008221
51 , 2020-02-21 , 0.6789585410191776
52 , 2020-02-22 , 0.42508180378819205
53 , 2020-02-23 , -3.137911217967511
54 , 2020-02-24 , -4.669742567290214
55 , 2020-02-25 , -5.622297542954321
56 , 2020-02-26 , -9.28728458335777
57 , 2020-02-27 , -11.748381633730137
58 , 2020-02-28 , -10.689340292030717
59 , 2020-02-29 , -9.462959010144836
60 , 2020-03-01 , -14.153866181903476
61 , 2020-03-02 , -16.78231865360933
62 , 2020-03-03 , -14.60255908051368
63 , 2020-03-04 , -9.744237377587513
64 , 2020-03-05 , -9.115393185949682
65 , 2020-03-06 , -12.524208057233329
66 , 2020-03-07 , -15.976419398346328
67 , 2020-03-08 , -21.85934674250864
68 , 2020-03-09 , -27.4175711018589
69 , 2020-03-10 , -35.32642995367382
70 , 2020-03-11 , -40.20607236263414
71 , 2020-03-12 , -55.70120799859262
72 , 2020-03-13 , -64.19587105441325
73 , 2020-03-14 , -76.67873570632732
74 , 2020-03-15 , -82.33765789010728
75 , 2020-03-16 , -86.15205770245703
76 , 2020-03-17 , -83.58015187943468
77 , 2020-03-18 , -77.57329971266051
78 , 2020-03-19 , -78.71330674954552
79 , 2020-03-20 , -79.67704826130299
80 , 2020-03-21 , -82.39351668328152
81 , 2020-03-22 , -86.71917433882598
82 , 2020-03-23 , -89.75166187767547
83 , 2020-03-24 , -86.4563625168592
84 , 2020-03-25 , -82.19013663285052
85 , 2020-03-26 , -82.99328728083033
86 , 2020-03-27 , -83.8875599601243
87 , 2020-03-28 , -84.00696182489882
88 , 2020-03-29 , -87.73334427959888
89 , 2020-03-30 , -90.86606696768895
