Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 5.628850903145999
48 , 2020-02-18 , 4.793900418839833
49 , 2020-02-19 , 2.6290958701958176
50 , 2020-02-20 , 2.4719447333965094
51 , 2020-02-21 , 3.7850667322535614
52 , 2020-02-22 , 5.406307626646601
53 , 2020-02-23 , 5.7962687808794895
54 , 2020-02-24 , -1.3404578447471402
55 , 2020-02-25 , -9.457619340417681
56 , 2020-02-26 , -19.238578982776204
57 , 2020-02-27 , -21.61680451970862
58 , 2020-02-28 , -21.040029514102383
59 , 2020-02-29 , -18.926451724911203
60 , 2020-03-01 , -20.032945840175348
61 , 2020-03-02 , -22.404504662215434
62 , 2020-03-03 , -23.071940045862597
63 , 2020-03-04 , -20.926035633938316
64 , 2020-03-05 , -22.31379567271175
65 , 2020-03-06 , -26.228262878059013
66 , 2020-03-07 , -26.658999327252076
67 , 2020-03-08 , -25.864376912448726
68 , 2020-03-09 , -33.23413392747343
69 , 2020-03-10 , -39.29620134825785
70 , 2020-03-11 , -49.875050600771125
71 , 2020-03-12 , -59.21936819566114
72 , 2020-03-13 , -65.23868951598318
73 , 2020-03-14 , -72.64192362502622
74 , 2020-03-15 , -76.28157495352251
75 , 2020-03-16 , -78.264228184521
76 , 2020-03-17 , -76.22283841752326
77 , 2020-03-18 , -75.88236373237653
78 , 2020-03-19 , -76.7931286539978
79 , 2020-03-20 , -77.95338704707065
80 , 2020-03-21 , -78.95019425777096
81 , 2020-03-22 , -82.85400583048197
82 , 2020-03-23 , -84.44780069300268
83 , 2020-03-24 , -82.49443656276449
84 , 2020-03-25 , -81.07785964886895
85 , 2020-03-26 , -81.73866442899615
86 , 2020-03-27 , -82.05961675069986
87 , 2020-03-28 , -82.04911667474444
88 , 2020-03-29 , -83.3766762780402
