Days,Date,Change
46 , 2020-02-16 , 0.682887048853658
47 , 2020-02-17 , 0.8852020401850282
48 , 2020-02-18 , 1.0735942794247724
49 , 2020-02-19 , 1.0527101512873394
50 , 2020-02-20 , 1.0248646471040992
51 , 2020-02-21 , 0.23944739473551238
52 , 2020-02-22 , -0.38590171717971344
53 , 2020-02-23 , -0.32337985856827334
54 , 2020-02-24 , -5.404757196661779
55 , 2020-02-25 , -9.892506708295267
56 , 2020-02-26 , -14.459150057191366
57 , 2020-02-27 , -13.391797074967451
58 , 2020-02-28 , -12.515156790665216
59 , 2020-02-29 , -11.148406627004388
60 , 2020-03-01 , -8.24638298790708
61 , 2020-03-02 , -8.007810829670447
62 , 2020-03-03 , -9.087404231441578
63 , 2020-03-04 , -9.540067708820414
64 , 2020-03-05 , -12.508050385951785
65 , 2020-03-06 , -15.486794190220635
66 , 2020-03-07 , -16.59735121252886
67 , 2020-03-08 , -14.243995194486608
68 , 2020-03-09 , -16.9502784751847
69 , 2020-03-10 , -23.066108383031068
70 , 2020-03-11 , -32.708223326882816
71 , 2020-03-12 , -40.654851626177106
72 , 2020-03-13 , -48.21664635593892
73 , 2020-03-14 , -54.2357815074061
74 , 2020-03-15 , -57.03684033178185
75 , 2020-03-16 , -57.399353989367455
76 , 2020-03-17 , -59.72894947736446
77 , 2020-03-18 , -60.86423388750206
78 , 2020-03-19 , -62.50291280295237
79 , 2020-03-20 , -63.36090240059855
80 , 2020-03-21 , -63.38874790478178
81 , 2020-03-22 , -63.833753868510236
82 , 2020-03-23 , -65.8836760738668
83 , 2020-03-24 , -68.91056939578583
84 , 2020-03-25 , -70.69366785845318
85 , 2020-03-26 , -71.97925997971326
86 , 2020-03-27 , -72.49853028984151
87 , 2020-03-28 , -70.07407224096627
88 , 2020-03-29 , -66.99348378139233
