Days,Date,Change
46,2020-02-16,-10.198458
47,2020-02-17,-6.443613
48,2020-02-18,-1.987783
49,2020-02-19,0.215508
50,2020-02-20,-0.376247
51,2020-02-21,-0.006071
52,2020-02-22,-0.464145
53,2020-02-23,-4.995614
54,2020-02-24,-8.095581
55,2020-02-25,-2.824100
56,2020-02-26,0.737535
57,2020-02-27,0.449115
58,2020-02-28,-1.086733
59,2020-02-29,0.210342
60,2020-03-01,0.646958
61,2020-03-02,-0.075953
62,2020-03-03,0.436504
63,2020-03-04,2.089972
64,2020-03-05,0.962244
65,2020-03-06,-0.620601
66,2020-03-07,1.198256
67,2020-03-08,1.503217
68,2020-03-09,1.284821
69,2020-03-10,1.305820
70,2020-03-11,2.530505
71,2020-03-12,6.522220
72,2020-03-13,14.344884
73,2020-03-14,15.921432
74,2020-03-15,12.121130
75,2020-03-16,10.891747
76,2020-03-17,12.596214
77,2020-03-18,8.598346
78,2020-03-19,5.062881
79,2020-03-20,-1.697122
80,2020-03-21,-5.278865
81,2020-03-22,-10.856778
82,2020-03-23,-13.748889
83,2020-03-24,-11.535043
84,2020-03-25,-11.118707
85,2020-03-26,-13.394829
86,2020-03-27,-14.060050
87,2020-03-28,-15.520455
88,2020-03-29,-22.615440
