Days,Date,Change
46,2020-02-16,-29.709733
47,2020-02-17,-12.072569
48,2020-02-18,-5.432751
49,2020-02-19,15.220354
50,2020-02-20,10.050277
51,2020-02-21,7.208670
52,2020-02-22,8.287621
53,2020-02-23,-3.123448
54,2020-02-24,-12.707623
55,2020-02-25,3.513568
56,2020-02-26,18.189227
57,2020-02-27,10.404882
58,2020-02-28,0.525844
59,2020-02-29,1.342743
60,2020-03-01,-0.452811
61,2020-03-02,-5.274157
62,2020-03-03,-0.679217
63,2020-03-04,7.995774
64,2020-03-05,7.527947
65,2020-03-06,2.924383
66,2020-03-07,12.236380
67,2020-03-08,16.719040
68,2020-03-09,11.142897
69,2020-03-10,-1.556619
70,2020-03-11,3.521860
71,2020-03-12,6.330427
72,2020-03-13,1.177211
73,2020-03-14,4.075883
74,2020-03-15,10.247832
75,2020-03-16,18.499662
76,2020-03-17,32.393323
77,2020-03-18,39.920092
78,2020-03-19,26.093274
79,2020-03-20,8.299948
80,2020-03-21,5.697179
81,2020-03-22,12.340158
82,2020-03-23,11.500015
83,2020-03-24,10.121476
84,2020-03-25,17.134224
85,2020-03-26,18.408985
86,2020-03-27,14.730758
87,2020-03-28,8.288201
88,2020-03-29,-4.709408
