Days,Date,Change
46,2020-02-16,-0.326685
47,2020-02-17,-0.319622
48,2020-02-18,-0.298431
49,2020-02-19,-0.277241
50,2020-02-20,-0.248987
51,2020-02-21,-0.220733
52,2020-02-22,-0.192479
53,2020-02-23,-0.164225
54,2020-02-24,0.372244
55,2020-02-25,0.938116
56,2020-02-26,1.605171
57,2020-02-27,1.626362
58,2020-02-28,1.654616
59,2020-02-29,0.668557
60,2020-03-01,0.014480
61,2020-03-02,0.047678
62,2020-03-03,0.075932
63,2020-03-04,0.104186
64,2020-03-05,0.125376
65,2020-03-06,0.153630
66,2020-03-07,-0.036642
67,2020-03-08,-0.219850
68,2020-03-09,0.019866
69,2020-03-10,0.893969
70,2020-03-11,1.768073
71,2020-03-12,2.430713
72,2020-03-13,3.897618
73,2020-03-14,4.801829
74,2020-03-15,5.263603
75,2020-03-16,7.373664
76,2020-03-17,11.910761
77,2020-03-18,14.848807
78,2020-03-19,16.570879
79,2020-03-20,17.618390
80,2020-03-21,15.358613
81,2020-03-22,11.574893
82,2020-03-23,11.659302
83,2020-03-24,15.399404
84,2020-03-25,18.592795
85,2020-03-26,18.953737
86,2020-03-27,19.847221
87,2020-03-28,16.884467
88,2020-03-29,13.813354
