Days,Date,Change
46,2020-02-16,-8.738872
47,2020-02-17,-4.894626
48,2020-02-18,-0.633610
49,2020-02-19,1.714557
50,2020-02-20,1.065433
51,2020-02-21,2.324358
52,2020-02-22,2.861932
53,2020-02-23,0.139928
54,2020-02-24,2.508635
55,2020-02-25,8.975574
56,2020-02-26,8.004704
57,2020-02-27,4.277120
58,2020-02-28,-0.450433
59,2020-02-29,-1.507332
60,2020-03-01,-1.677290
61,2020-03-02,-2.684428
62,2020-03-03,-3.454978
63,2020-03-04,-1.062966
64,2020-03-05,-3.085761
65,2020-03-06,-4.217479
66,2020-03-07,-1.542536
67,2020-03-08,-0.940353
68,2020-03-09,-2.125084
69,2020-03-10,-5.164812
70,2020-03-11,-6.194050
71,2020-03-12,-7.093897
72,2020-03-13,-11.089362
73,2020-03-14,-16.486110
74,2020-03-15,-24.076209
75,2020-03-16,-28.568328
76,2020-03-17,-29.481909
77,2020-03-18,-32.937727
78,2020-03-19,-38.912087
79,2020-03-20,-42.948452
80,2020-03-21,-47.535406
81,2020-03-22,-55.610308
82,2020-03-23,-52.267434
83,2020-03-24,-44.997535
84,2020-03-25,-44.448349
85,2020-03-26,-47.672503
86,2020-03-27,-50.066189
87,2020-03-28,-53.159885
88,2020-03-29,-59.331980
