Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,-4.584033
48,2020-02-18,-4.242044
49,2020-02-19,-3.907002
50,2020-02-20,-3.851282
51,2020-02-21,-1.816106
52,2020-02-22,2.098000
53,2020-02-23,4.290982
54,2020-02-24,0.631050
55,2020-02-25,-3.626397
56,2020-02-26,-5.881943
57,2020-02-27,-7.570035
58,2020-02-28,-7.540569
59,2020-02-29,-5.490428
60,2020-03-01,-2.697417
61,2020-03-02,-1.273554
62,2020-03-03,-1.987925
63,2020-03-04,-2.420369
64,2020-03-05,-2.709822
65,2020-03-06,-3.188964
66,2020-03-07,-1.565439
67,2020-03-08,-1.215374
68,2020-03-09,-3.391485
69,2020-03-10,-5.678457
70,2020-03-11,-7.954256
71,2020-03-12,-10.836766
72,2020-03-13,-16.876382
73,2020-03-14,-23.940977
74,2020-03-15,-32.639504
75,2020-03-16,-40.604363
76,2020-03-17,-49.327296
77,2020-03-18,-54.781922
78,2020-03-19,-58.329754
79,2020-03-20,-60.722665
80,2020-03-21,-58.637539
81,2020-03-22,-57.483585
82,2020-03-23,-61.452956
83,2020-03-24,-64.344886
84,2020-03-25,-65.477228
85,2020-03-26,-65.658889
86,2020-03-27,-65.782312
87,2020-03-28,-64.216562
88,2020-03-29,-65.067555
