Days,Date,Change
46,2020-02-16,nan
47,2020-02-17,-4.661064
48,2020-02-18,-5.288465
49,2020-02-19,-5.681075
50,2020-02-20,-5.669867
51,2020-02-21,-7.079015
52,2020-02-22,-6.823618
53,2020-02-23,-5.363186
54,2020-02-24,-10.350356
55,2020-02-25,-13.756225
56,2020-02-26,-17.715138
57,2020-02-27,-14.032988
58,2020-02-28,-13.232764
59,2020-02-29,-9.015847
60,2020-03-01,-4.676867
61,2020-03-02,-0.506123
62,2020-03-03,1.260697
63,2020-03-04,1.748373
64,2020-03-05,2.223484
65,2020-03-06,1.661801
66,2020-03-07,0.662864
67,2020-03-08,-0.169000
68,2020-03-09,-0.368647
69,2020-03-10,-0.146671
70,2020-03-11,-1.399282
71,2020-03-12,-2.234649
72,2020-03-13,-5.977841
73,2020-03-14,-7.879574
74,2020-03-15,-10.528435
75,2020-03-16,-25.718358
76,2020-03-17,-33.790599
77,2020-03-18,-43.460067
78,2020-03-19,-46.206969
79,2020-03-20,-46.181332
80,2020-03-21,-37.044792
81,2020-03-22,-32.860079
82,2020-03-23,-38.739102
83,2020-03-24,-47.328161
84,2020-03-25,-51.628094
85,2020-03-26,-51.669979
86,2020-03-27,-49.655409
87,2020-03-28,-41.194800
88,2020-03-29,-35.580529
