Days,Date,Change
46,2020-02-16,0.541767
47,2020-02-17,-0.470921
48,2020-02-18,-1.829209
49,2020-02-19,-0.899907
50,2020-02-20,-0.583442
51,2020-02-21,-2.608819
52,2020-02-22,-1.864930
53,2020-02-23,1.973953
54,2020-02-24,3.498121
55,2020-02-25,-0.126326
56,2020-02-26,-0.302140
57,2020-02-27,0.823070
58,2020-02-28,0.752744
59,2020-02-29,-0.904930
60,2020-03-01,-1.802419
61,2020-03-02,-0.245879
62,2020-03-03,-0.302140
63,2020-03-04,-0.543256
64,2020-03-05,0.782884
65,2020-03-06,1.506233
66,2020-03-07,0.260465
67,2020-03-08,-1.680521
68,2020-03-09,-1.532837
69,2020-03-10,0.588651
70,2020-03-11,14.935070
71,2020-03-12,28.137526
72,2020-03-13,24.325879
73,2020-03-14,2.478918
74,2020-03-15,-22.525023
75,2020-03-16,-24.859833
76,2020-03-17,-18.024186
77,2020-03-18,-15.998809
78,2020-03-19,-15.267423
79,2020-03-20,-14.039070
80,2020-03-21,-15.239293
81,2020-03-22,-22.586558
82,2020-03-23,-24.279026
83,2020-03-24,-19.213328
84,2020-03-25,-15.304930
85,2020-03-26,-13.429581
86,2020-03-27,-11.741767
87,2020-03-28,-12.974809
88,2020-03-29,-19.742140
