Days,Date,Change
46,2020-02-16,-32.470703
47,2020-02-17,-10.490386
48,2020-02-18,-2.729584
49,2020-02-19,29.739997
50,2020-02-20,26.115289
51,2020-02-21,15.510592
52,2020-02-22,5.262106
53,2020-02-23,3.938277
54,2020-02-24,6.721254
55,2020-02-25,12.953981
56,2020-02-26,16.385354
57,2020-02-27,16.953858
58,2020-02-28,16.684611
59,2020-02-29,8.300440
60,2020-03-01,-7.321427
61,2020-03-02,-15.504012
62,2020-03-03,-9.228238
63,2020-03-04,6.931209
64,2020-03-05,14.639602
65,2020-03-06,19.990717
66,2020-03-07,21.159787
67,2020-03-08,-1.255973
68,2020-03-09,-12.416277
69,2020-03-10,-9.691514
70,2020-03-11,2.060078
71,2020-03-12,2.452222
72,2020-03-13,1.831185
73,2020-03-14,9.169253
74,2020-03-15,-9.897307
75,2020-03-16,-16.372528
76,2020-03-17,-4.598236
77,2020-03-18,13.314604
78,2020-03-19,17.378342
79,2020-03-20,31.660097
80,2020-03-21,52.379904
81,2020-03-22,39.357643
82,2020-03-23,20.985793
83,2020-03-24,-5.809821
84,2020-03-25,-4.605267
85,2020-03-26,10.003270
86,2020-03-27,17.870808
87,2020-03-28,21.154896
88,2020-03-29,13.894322
