Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,-0.312765
48,2020-02-18,-0.298794
49,2020-02-19,-0.769963
50,2020-02-20,-0.579609
51,2020-02-21,0.625031
52,2020-02-22,0.022973
53,2020-02-23,-2.049958
54,2020-02-24,-2.449002
55,2020-02-25,-0.957173
56,2020-02-26,-0.089231
57,2020-02-27,-0.061289
58,2020-02-28,-0.033347
59,2020-02-29,-0.005405
60,2020-03-01,0.022536
61,2020-03-02,0.050478
62,2020-03-03,0.071435
63,2020-03-04,0.099376
64,2020-03-05,0.120333
65,2020-03-06,0.148274
66,2020-03-07,0.176216
67,2020-03-08,0.204158
68,2020-03-09,0.232100
69,2020-03-10,0.330333
70,2020-03-11,1.198274
71,2020-03-12,3.175418
72,2020-03-13,7.598981
73,2020-03-14,9.827983
74,2020-03-15,9.114969
75,2020-03-16,12.837921
76,2020-03-17,15.109705
77,2020-03-18,18.669605
78,2020-03-19,19.475958
79,2020-03-20,19.769667
80,2020-03-21,15.463780
81,2020-03-22,12.888177
82,2020-03-23,14.047179
83,2020-03-24,17.427443
84,2020-03-25,19.699958
85,2020-03-26,19.668757
86,2020-03-27,19.747110
87,2020-03-28,16.070291
88,2020-03-29,13.893015
