Days,Date,Change
46 , 2020-02-16 , -6.774076015159707
47 , 2020-02-17 , -3.680038115863546
48 , 2020-02-18 , -1.1953772387655506
49 , 2020-02-19 , 2.2655792095289726
50 , 2020-02-20 , 2.36227153221441
51 , 2020-02-21 , 0.31921689225772526
52 , 2020-02-22 , -1.960125609095826
53 , 2020-02-23 , -2.6877920952896517
54 , 2020-02-24 , -2.0158648619382724
55 , 2020-02-25 , -0.7139239848402781
56 , 2020-02-26 , 0.028965284244728197
57 , 2020-02-27 , -0.07576047644829012
58 , 2020-02-28 , -0.4559516621548454
59 , 2020-02-29 , -1.951539144558744
60 , 2020-03-01 , -7.182054358419059
61 , 2020-03-02 , -7.860253383865723
62 , 2020-03-03 , -4.560456350839189
63 , 2020-03-04 , -2.3600511099079533
64 , 2020-03-05 , -2.452901353546283
65 , 2020-03-06 , -2.5799727125067586
66 , 2020-03-07 , -4.475232051976174
67 , 2020-03-08 , -8.262396534921493
68 , 2020-03-09 , -8.689197184623708
69 , 2020-03-10 , -6.1255796426637685
70 , 2020-03-11 , -6.024172041147798
71 , 2020-03-12 , -8.031608446128855
72 , 2020-03-13 , -20.827977043854897
73 , 2020-03-14 , -33.511556113252006
74 , 2020-03-15 , -53.75970893340552
75 , 2020-03-16 , -56.40211283161884
76 , 2020-03-17 , -49.48904472116947
77 , 2020-03-18 , -44.57125630752572
78 , 2020-03-19 , -45.472427590687595
79 , 2020-03-20 , -44.75535592853275
80 , 2020-03-21 , -47.09844201407687
81 , 2020-03-22 , -56.80747102426539
82 , 2020-03-23 , -57.014230077880974
83 , 2020-03-24 , -48.8229242663779
84 , 2020-03-25 , -44.30231077422848
85 , 2020-03-26 , -44.23574384407146
86 , 2020-03-27 , -43.39364937736869
87 , 2020-03-28 , -45.38003335138061
88 , 2020-03-29 , -53.54614921494315
