Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,-6.199306
48,2020-02-18,-6.206365
49,2020-02-19,-5.445014
50,2020-02-20,-5.687397
51,2020-02-21,-6.935720
52,2020-02-22,-5.457221
53,2020-02-23,1.175668
54,2020-02-24,2.971196
55,2020-02-25,1.269642
56,2020-02-26,-1.008676
57,2020-02-27,-1.063825
58,2020-02-28,-0.909584
59,2020-02-29,-0.411566
60,2020-03-01,-1.108297
61,2020-03-02,-1.798675
62,2020-03-03,-2.322812
63,2020-03-04,-2.024742
64,2020-03-05,-0.620868
65,2020-03-06,0.742197
66,2020-03-07,-0.011875
67,2020-03-08,-4.128888
68,2020-03-09,-6.617515
69,2020-03-10,-6.568648
70,2020-03-11,-9.232316
71,2020-03-12,-16.241170
72,2020-03-13,-26.157853
73,2020-03-14,-37.329670
74,2020-03-15,-45.761599
75,2020-03-16,-49.872435
76,2020-03-17,-53.078663
77,2020-03-18,-55.261978
78,2020-03-19,-57.199402
79,2020-03-20,-57.386467
80,2020-03-21,-51.670641
81,2020-03-22,-51.031404
82,2020-03-23,-54.240765
83,2020-03-24,-60.323751
84,2020-03-25,-60.674587
85,2020-03-26,-59.674316
86,2020-03-27,-59.515486
87,2020-03-28,-57.547767
88,2020-03-29,-56.257267
