Days,Date,Change
46 , 2020-02-16 , -3.2337595034686335
47 , 2020-02-17 , -7.917260049624213
48 , 2020-02-18 , -10.084864618523007
49 , 2020-02-19 , -12.085323533879748
50 , 2020-02-20 , -12.93714219576243
51 , 2020-02-21 , -14.211588914850381
52 , 2020-02-22 , -11.721487568631147
53 , 2020-02-23 , -5.861461845065435
54 , 2020-02-24 , -3.5827120277201145
55 , 2020-02-25 , -4.097915754598924
56 , 2020-02-26 , -3.7762634278315126
57 , 2020-02-27 , -4.3143923205463075
58 , 2020-02-28 , -5.096793813612663
59 , 2020-02-29 , -4.095057400588839
60 , 2020-03-01 , -2.207085410050712
61 , 2020-03-02 , -1.9758892931806546
62 , 2020-03-03 , -2.129598738416803
63 , 2020-03-04 , -2.133818213384069
64 , 2020-03-05 , -2.20125203451993
65 , 2020-03-06 , -2.215252135793809
66 , 2020-03-07 , -2.2257522117492172
67 , 2020-03-08 , -2.2397523130230965
68 , 2020-03-09 , -2.2537524142969794
69 , 2020-03-10 , -2.2695025282300976
70 , 2020-03-11 , -2.982632686868397
71 , 2020-03-12 , -7.968200001446773
72 , 2020-03-13 , -19.87245562198274
73 , 2020-03-14 , -28.25490577912167
74 , 2020-03-15 , -28.168847286221702
75 , 2020-03-16 , -35.98320473961763
76 , 2020-03-17 , -45.38495330550713
77 , 2020-03-18 , -50.53018496950932
78 , 2020-03-19 , -52.050362632831536
79 , 2020-03-20 , -52.21253047258732
80 , 2020-03-21 , -45.53312104398902
81 , 2020-03-22 , -37.846676552926446
82 , 2020-03-23 , -41.360618638734366
83 , 2020-03-24 , -47.71713684271442
84 , 2020-03-25 , -52.867618544694324
85 , 2020-03-26 , -52.71536744334087
86 , 2020-03-27 , -51.72933253278742
87 , 2020-03-28 , -43.52867598868626
88 , 2020-03-29 , -37.85542661622262
