Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,1.184147
48,2020-02-18,1.741567
49,2020-02-19,2.577696
50,2020-02-20,2.577696
51,2020-02-21,3.065438
52,2020-02-22,3.483502
53,2020-02-23,3.469567
54,2020-02-24,5.689954
55,2020-02-25,5.683318
56,2020-02-26,2.697143
57,2020-02-27,2.076018
58,2020-02-28,5.030341
59,2020-02-29,6.200922
60,2020-03-01,3.999115
61,2020-03-02,3.158341
62,2020-03-03,5.197567
63,2020-03-04,6.340276
64,2020-03-05,6.340276
65,2020-03-06,6.256664
66,2020-03-07,4.608295
67,2020-03-08,4.011060
68,2020-03-09,5.977954
69,2020-03-10,11.496406
70,2020-03-11,17.244793
71,2020-03-12,23.321659
72,2020-03-13,21.855115
73,2020-03-14,6.549309
74,2020-03-15,-13.475982
75,2020-03-16,-23.728210
76,2020-03-17,-21.335594
77,2020-03-18,-20.137143
78,2020-03-19,-26.164240
79,2020-03-20,-33.375853
80,2020-03-21,-44.663594
81,2020-03-22,-51.875207
82,2020-03-23,-52.733506
83,2020-03-24,-48.921659
84,2020-03-25,-41.667465
85,2020-03-26,-42.015853
86,2020-03-27,-41.830046
87,2020-03-28,-43.090876
88,2020-03-29,-49.262304
