Days,Date,Change
46,2020-02-16,-13.671480
47,2020-02-17,-4.661847
48,2020-02-18,-0.265648
49,2020-02-19,11.205992
50,2020-02-20,16.939820
51,2020-02-21,27.929579
52,2020-02-22,33.225427
53,2020-02-23,45.127113
54,2020-02-24,61.665366
55,2020-02-25,59.183084
56,2020-02-26,47.185430
57,2020-02-27,28.452939
58,2020-02-28,25.176894
59,2020-02-29,11.376514
60,2020-03-01,-5.672888
61,2020-03-02,-13.776397
62,2020-03-03,-6.780216
63,2020-03-04,3.744582
64,2020-03-05,9.130428
65,2020-03-06,13.217821
66,2020-03-07,18.646787
67,2020-03-08,14.458666
68,2020-03-09,8.651605
69,2020-03-10,10.247842
70,2020-03-11,23.201558
71,2020-03-12,18.642055
72,2020-03-13,5.103812
73,2020-03-14,-12.929063
74,2020-03-15,-38.003428
75,2020-03-16,-46.790116
76,2020-03-17,-45.186646
77,2020-03-18,-43.101182
78,2020-03-19,-46.017942
79,2020-03-20,-54.092809
80,2020-03-21,-65.857342
81,2020-03-22,-72.427117
82,2020-03-23,-67.547357
83,2020-03-24,-64.834725
84,2020-03-25,-59.697941
85,2020-03-26,-60.358785
86,2020-03-27,-62.349247
87,2020-03-28,-66.908483
88,2020-03-29,-73.708641
