Days,Date,Change
46,2020-02-16,-0.466074
47,2020-02-17,-0.173037
48,2020-02-18,-0.849590
49,2020-02-19,-1.665657
50,2020-02-20,-1.637637
51,2020-02-21,-2.365793
52,2020-02-22,-3.010240
53,2020-02-23,-3.513773
54,2020-02-24,-1.725548
55,2020-02-25,5.938920
56,2020-02-26,8.323780
57,2020-02-27,4.398805
58,2020-02-28,-1.094760
59,2020-02-29,-0.771661
60,2020-03-01,0.372759
61,2020-03-02,0.696150
62,2020-03-03,0.351744
63,2020-03-04,-0.376411
64,2020-03-05,-1.020859
65,2020-03-06,-1.245365
66,2020-03-07,-1.217345
67,2020-03-08,-1.196331
68,2020-03-09,-0.331230
69,2020-03-10,0.533871
70,2020-03-11,0.561890
71,2020-03-12,1.430493
72,2020-03-13,3.999527
73,2020-03-14,7.988214
74,2020-03-15,12.671550
75,2020-03-16,16.558666
76,2020-03-17,19.642557
77,2020-03-18,23.554482
78,2020-03-19,25.702349
79,2020-03-20,28.977790
80,2020-03-21,31.656289
81,2020-03-22,26.383238
82,2020-03-23,24.971758
83,2020-03-24,29.698157
84,2020-03-25,32.742238
85,2020-03-26,32.840306
86,2020-03-27,34.002763
87,2020-03-28,32.104114
88,2020-03-29,26.221779
