Days,Date,Change
46,2020-02-16,nan
47,2020-02-17,-2.313074
48,2020-02-18,-1.106938
49,2020-02-19,0.613479
50,2020-02-20,2.922049
51,2020-02-21,3.587054
52,2020-02-22,3.119941
53,2020-02-23,4.067311
54,2020-02-24,9.919245
55,2020-02-25,8.066791
56,2020-02-26,3.430217
57,2020-02-27,-0.980996
58,2020-02-28,1.432544
59,2020-02-29,1.136800
60,2020-03-01,-3.166624
61,2020-03-02,-4.849337
62,2020-03-03,-2.242261
63,2020-03-04,-0.299501
64,2020-03-05,0.744058
65,2020-03-06,0.874697
66,2020-03-07,0.671488
67,2020-03-08,0.792276
68,2020-03-09,-0.386066
69,2020-03-10,-0.677809
70,2020-03-11,-0.649454
71,2020-03-12,-3.941693
72,2020-03-13,-14.214933
73,2020-03-14,-31.042525
74,2020-03-15,-48.429371
75,2020-03-16,-57.614158
76,2020-03-17,-55.291684
77,2020-03-18,-54.154804
78,2020-03-19,-60.625962
79,2020-03-20,-67.820131
80,2020-03-21,-75.531543
81,2020-03-22,-81.949955
82,2020-03-23,-81.019088
83,2020-03-24,-77.122602
84,2020-03-25,-74.330310
85,2020-03-26,-74.309044
86,2020-03-27,-75.232120
87,2020-03-28,-77.014697
88,2020-03-29,-80.781286
