Days,Date,Change
46,2020-02-16,1.866648
47,2020-02-17,2.082394
48,2020-02-18,2.588159
49,2020-02-19,3.872171
50,2020-02-20,6.220617
51,2020-02-21,7.932436
52,2020-02-22,10.056264
53,2020-02-23,12.217848
54,2020-02-24,6.207501
55,2020-02-25,-10.090148
56,2020-02-26,-14.329743
57,2020-02-27,-8.550187
58,2020-02-28,4.364112
59,2020-02-29,3.936865
60,2020-03-01,0.526700
61,2020-03-02,-0.941486
62,2020-03-03,0.651457
63,2020-03-04,1.937532
64,2020-03-05,3.224933
65,2020-03-06,4.229242
66,2020-03-07,4.880016
67,2020-03-08,3.579175
68,2020-03-09,0.733393
69,2020-03-10,-0.809661
70,2020-03-11,-1.079520
71,2020-03-12,-6.438582
72,2020-03-13,-13.849945
73,2020-03-14,-23.083468
74,2020-03-15,-37.242126
75,2020-03-16,-44.744110
76,2020-03-17,-53.343348
77,2020-03-18,-57.502644
78,2020-03-19,-63.378769
79,2020-03-20,-69.908395
80,2020-03-21,-73.522948
81,2020-03-22,-74.179322
82,2020-03-23,-75.015779
83,2020-03-24,-75.320830
84,2020-03-25,-75.306682
85,2020-03-26,-76.310784
86,2020-03-27,-76.978535
87,2020-03-28,-76.751914
88,2020-03-29,-77.093010
