Days,Date,Change
46,2020-02-16,0.549689
47,2020-02-17,1.399616
48,2020-02-18,2.042329
49,2020-02-19,2.263590
50,2020-02-20,1.436054
51,2020-02-21,0.938478
52,2020-02-22,-0.015758
53,2020-02-23,-2.245352
54,2020-02-24,-16.661240
55,2020-02-25,-37.593845
56,2020-02-26,-41.698509
57,2020-02-27,-28.518688
58,2020-02-28,-3.625019
59,2020-02-29,0.711245
60,2020-03-01,-0.535987
61,2020-03-02,0.061859
62,2020-03-03,2.014232
63,2020-03-04,2.449731
64,2020-03-05,2.463780
65,2020-03-06,1.527807
66,2020-03-07,0.697197
67,2020-03-08,0.816608
68,2020-03-09,0.830656
69,2020-03-10,0.844705
70,2020-03-11,0.015851
71,2020-03-12,-2.359934
72,2020-03-13,-6.814936
73,2020-03-14,-11.234457
74,2020-03-15,-19.786826
75,2020-03-16,-27.269341
76,2020-03-17,-42.050997
77,2020-03-18,-47.800419
78,2020-03-19,-53.712033
79,2020-03-20,-57.794568
80,2020-03-21,-59.093457
81,2020-03-22,-55.776578
82,2020-03-23,-55.481855
83,2020-03-24,-59.943540
84,2020-03-25,-63.019197
85,2020-03-26,-63.848051
86,2020-03-27,-64.114677
87,2020-03-28,-59.650222
88,2020-03-29,-56.456948
