Days,Date,Change
47 , 2020-02-17 , -5.703273666294973
48 , 2020-02-18 , -4.4672574681612796
49 , 2020-02-19 , -1.9472081694935153
50 , 2020-02-20 , 0.13640988320910874
51 , 2020-02-21 , 0.5783231410294022
52 , 2020-02-22 , -0.2607796232173242
53 , 2020-02-23 , -1.089509947766885
54 , 2020-02-24 , -0.7913516051411449
55 , 2020-02-25 , 1.589478255766186
56 , 2020-02-26 , 3.472071130934916
57 , 2020-02-27 , 3.8652822348729385
58 , 2020-02-28 , 2.2579188919537554
59 , 2020-02-29 , 2.091535888256356
60 , 2020-03-01 , 1.3245472152121625
61 , 2020-03-02 , -0.4377815599506991
62 , 2020-03-03 , -0.4684256118316782
63 , 2020-03-04 , 1.0802230177827354
64 , 2020-03-05 , 0.3295029051000668
65 , 2020-03-06 , 0.6816137097247505
66 , 2020-03-07 , 1.335343623452081
67 , 2020-03-08 , 0.8524631727214071
68 , 2020-03-09 , 0.055402312342279623
69 , 2020-03-10 , -0.6872821174951511
70 , 2020-03-11 , 0.4629051000645621
71 , 2020-03-12 , 3.8865792593462105
72 , 2020-03-13 , 7.793771934972715
73 , 2020-03-14 , 9.021055226245677
74 , 2020-03-15 , 5.419294559539885
75 , 2020-03-16 , 2.0108691824637646
76 , 2020-03-17 , 0.7327660073948058
77 , 2020-03-18 , -0.31371794119372653
78 , 2020-03-19 , -2.2946651798814437
79 , 2020-03-20 , -2.6821034098245153
80 , 2020-03-21 , -3.8038945947532063
81 , 2020-03-22 , -6.3435647631903205
82 , 2020-03-23 , -7.526259522272428
83 , 2020-03-24 , -8.237225189271664
84 , 2020-03-25 , -6.91957039732378
85 , 2020-03-26 , -3.961678502259516
86 , 2020-03-27 , -1.6809362051763543
87 , 2020-03-28 , -3.6042349903163267
88 , 2020-03-29 , -5.398805094195662
