Days,Date,Change
46,2020-02-16,-30.334358
47,2020-02-17,-17.510337
48,2020-02-18,-6.325129
49,2020-02-19,13.769124
50,2020-02-20,13.406262
51,2020-02-21,8.966106
52,2020-02-22,5.711632
53,2020-02-23,4.903116
54,2020-02-24,9.854312
55,2020-02-25,15.675188
56,2020-02-26,9.163355
57,2020-02-27,6.151901
58,2020-02-28,9.915855
59,2020-02-29,10.908028
60,2020-03-01,0.677105
61,2020-03-02,-0.563144
62,2020-03-03,3.246145
63,2020-03-04,1.692175
64,2020-03-05,1.567494
65,2020-03-06,11.653856
66,2020-03-07,23.244045
67,2020-03-08,18.207139
68,2020-03-09,9.953035
69,2020-03-10,2.969811
70,2020-03-11,4.579656
71,2020-03-12,-4.761011
72,2020-03-13,-5.978809
73,2020-03-14,21.530270
74,2020-03-15,22.729820
75,2020-03-16,8.638163
76,2020-03-17,-0.360813
77,2020-03-18,2.992862
78,2020-03-19,17.225434
79,2020-03-20,22.413090
80,2020-03-21,34.850982
81,2020-03-22,50.601133
82,2020-03-23,32.943808
83,2020-03-24,19.851701
84,2020-03-25,19.972254
85,2020-03-26,32.362777
86,2020-03-27,41.603433
87,2020-03-28,45.909067
88,2020-03-29,46.428638
