Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,1.146869
48,2020-02-18,0.285550
49,2020-02-19,-0.276149
50,2020-02-20,-0.243476
51,2020-02-21,-0.215669
52,2020-02-22,-0.187862
53,2020-02-23,-0.657103
54,2020-02-24,-0.765724
55,2020-02-25,-0.111393
56,2020-02-26,-0.090538
57,2020-02-27,-0.062731
58,2020-02-28,-0.034924
59,2020-02-29,-0.502775
60,2020-03-01,-0.480530
61,2020-03-02,0.048497
62,2020-03-03,0.076303
63,2020-03-04,0.097159
64,2020-03-05,0.124966
65,2020-03-06,0.145821
66,2020-03-07,0.173628
67,2020-03-08,0.201434
68,2020-03-09,0.229241
69,2020-03-10,0.257048
70,2020-03-11,0.354662
71,2020-03-12,1.539873
72,2020-03-13,2.696524
73,2020-03-14,4.084262
74,2020-03-15,3.970659
75,2020-03-16,5.005076
76,2020-03-17,7.285937
77,2020-03-18,8.594772
78,2020-03-19,10.503890
79,2020-03-20,10.524745
80,2020-03-21,8.428414
81,2020-03-22,6.362593
82,2020-03-23,5.993148
83,2020-03-24,8.513843
84,2020-03-25,10.656828
85,2020-03-26,10.684634
86,2020-03-27,10.712441
87,2020-03-28,8.380717
88,2020-03-29,6.730262
