Days,Date,Change
46,2020-02-16,-11.895944
47,2020-02-17,-8.794406
48,2020-02-18,-5.805650
49,2020-02-19,-1.322517
50,2020-02-20,0.059077
51,2020-02-21,0.735776
52,2020-02-22,0.904951
53,2020-02-23,0.171860
54,2020-02-24,0.322238
55,2020-02-25,1.990490
56,2020-02-26,3.442573
57,2020-02-27,4.683189
58,2020-02-28,5.021538
59,2020-02-29,5.867413
60,2020-03-01,2.342937
61,2020-03-02,0.087273
62,2020-03-03,-1.111049
63,2020-03-04,-2.591329
64,2020-03-05,-3.014266
65,2020-03-06,-0.899580
66,2020-03-07,0.397427
67,2020-03-08,1.158713
68,2020-03-09,-1.533986
69,2020-03-10,-4.452252
70,2020-03-11,-5.551888
71,2020-03-12,-8.371469
72,2020-03-13,-11.191049
73,2020-03-14,-15.617790
74,2020-03-15,-20.515804
75,2020-03-16,-23.214545
76,2020-03-17,-23.174266
77,2020-03-18,-24.946573
78,2020-03-19,-26.332196
79,2020-03-20,-24.866014
80,2020-03-21,-26.360392
81,2020-03-22,-27.713790
82,2020-03-23,-27.474126
83,2020-03-24,-26.557762
84,2020-03-25,-23.644196
85,2020-03-26,-21.435524
86,2020-03-27,-20.354685
87,2020-03-28,-22.131021
88,2020-03-29,-24.795524
