Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , -8.87303135888501
48 , 2020-02-18 , -7.50561672473867
49 , 2020-02-19 , -4.6818118466898895
50 , 2020-02-20 , -4.611567944250865
51 , 2020-02-21 , -4.218202090592328
52 , 2020-02-22 , -2.6915679442508633
53 , 2020-02-23 , -1.661324041811838
54 , 2020-02-24 , -1.801811846689887
55 , 2020-02-25 , -2.9959581881533026
56 , 2020-02-26 , -4.260348432055743
57 , 2020-02-27 , -4.077714285714279
58 , 2020-02-28 , -2.7852264808362293
59 , 2020-02-29 , -0.015609756097554899
60 , 2020-03-01 , -0.4370731707317016
61 , 2020-03-02 , -3.487665505226474
62 , 2020-03-03 , -4.119860627177694
63 , 2020-03-04 , -4.857421602787451
64 , 2020-03-05 , -5.278885017421597
65 , 2020-03-06 , -3.571958188153303
66 , 2020-03-07 , -0.3768641114982521
67 , 2020-03-08 , -0.2388850174215964
68 , 2020-03-09 , -3.1364459930313515
69 , 2020-03-10 , -5.805714285714281
70 , 2020-03-11 , -6.8593728222996475
71 , 2020-03-12 , -11.15829965156794
72 , 2020-03-13 , -16.55303135888501
73 , 2020-03-14 , -17.65686411149825
74 , 2020-03-15 , -20.223275261324034
75 , 2020-03-16 , -24.525714285714272
76 , 2020-03-17 , -29.678606271776992
77 , 2020-03-18 , -33.53198606271776
78 , 2020-03-19 , -36.27751916376306
79 , 2020-03-20 , -37.12044599303135
80 , 2020-03-21 , -34.27456445993031
81 , 2020-03-22 , -32.164738675958176
82 , 2020-03-23 , -34.30132404181184
83 , 2020-03-24 , -37.8369337979094
84 , 2020-03-25 , -37.90717770034843
85 , 2020-03-26 , -36.71303135888501
86 , 2020-03-27 , -35.72961672473867
87 , 2020-03-28 , -33.50522648083623
88 , 2020-03-29 , -33.73268292682926
