Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , -6.1497577854671315
48 , 2020-02-18 , -6.1497577854671315
49 , 2020-02-19 , -6.1497577854671315
50 , 2020-02-20 , -6.1497577854671315
51 , 2020-02-21 , -7.098463667820075
52 , 2020-02-22 , -6.540401384083052
53 , 2020-02-23 , -3.2896885813148806
54 , 2020-02-24 , -3.1641245674740532
55 , 2020-02-25 , -4.224442906574405
56 , 2020-02-26 , -4.475570934256068
57 , 2020-02-27 , -4.998754325259529
58 , 2020-02-28 , -5.83584775086506
59 , 2020-02-29 , -4.708096885813154
60 , 2020-03-01 , -3.3826989619377223
61 , 2020-03-02 , -2.487474048442916
62 , 2020-03-03 , -2.8013840830449936
63 , 2020-03-04 , -2.8013840830449936
64 , 2020-03-05 , -2.8013840830449936
65 , 2020-03-06 , -2.8013840830449936
66 , 2020-03-07 , -2.2991280276816695
67 , 2020-03-08 , -1.629453287197239
68 , 2020-03-09 , -1.1271972318339178
69 , 2020-03-10 , -1.1271972318339178
70 , 2020-03-11 , -1.7550173010380692
71 , 2020-03-12 , -2.8013840830449888
72 , 2020-03-13 , -5.917231833910042
73 , 2020-03-14 , -8.242491349480977
74 , 2020-03-15 , -8.77265051903115
75 , 2020-03-16 , -11.925702422145338
76 , 2020-03-17 , -16.869204152249143
77 , 2020-03-18 , -23.768581314878897
78 , 2020-03-19 , -26.74225605536332
79 , 2020-03-20 , -27.91418685121107
80 , 2020-03-21 , -22.05453287197232
81 , 2020-03-22 , -17.96207612456748
82 , 2020-03-23 , -20.55972318339101
83 , 2020-03-24 , -24.984359861591695
84 , 2020-03-25 , -27.91418685121107
85 , 2020-03-26 , -28.123460207612453
86 , 2020-03-27 , -28.4164429065744
87 , 2020-03-28 , -24.472802768166098
88 , 2020-03-29 , -20.705882352941185
