Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , -2.9678504672897343
48 , 2020-02-18 , -2.210841121495342
49 , 2020-02-19 , -1.7102056074766494
50 , 2020-02-20 , -2.473271028037395
51 , 2020-02-21 , -2.473271028037395
52 , 2020-02-22 , -2.473271028037395
53 , 2020-02-23 , -2.473271028037395
54 , 2020-02-24 , -2.2613084112149657
55 , 2020-02-25 , -0.3536448598130981
56 , 2020-02-26 , 0.4336448598130696
57 , 2020-02-27 , -0.042766355140201995
58 , 2020-02-28 , -0.44785046728973404
59 , 2020-02-29 , -0.5353271028037522
60 , 2020-03-01 , -0.09928971962618209
61 , 2020-03-02 , 1.3420560747663401
62 , 2020-03-03 , 1.7659813084111988
63 , 2020-03-04 , 2.1051214953270856
64 , 2020-03-05 , 2.083925233644843
65 , 2020-03-06 , 2.189906542056059
66 , 2020-03-07 , 2.425420560747648
67 , 2020-03-08 , 1.907289719626153
68 , 2020-03-09 , 1.577570093457929
69 , 2020-03-10 , 2.500785046728956
70 , 2020-03-11 , 3.461682242990638
71 , 2020-03-12 , 5.76971962616821
72 , 2020-03-13 , 7.795140186915874
73 , 2020-03-14 , 9.029233644859799
74 , 2020-03-15 , 7.065046728971949
75 , 2020-03-16 , 10.850093457943913
76 , 2020-03-17 , 15.50115887850466
77 , 2020-03-18 , 20.23028037383176
78 , 2020-03-19 , 21.407850467289705
79 , 2020-03-20 , 18.46056074766354
80 , 2020-03-21 , 11.65757009345793
81 , 2020-03-22 , -2.388485981308425
82 , 2020-03-23 , -8.846280373831789
83 , 2020-03-24 , -14.73884112149534
84 , 2020-03-25 , -19.948411214953282
85 , 2020-03-26 , -26.721794392523385
86 , 2020-03-27 , -29.074579439252354
87 , 2020-03-28 , -33.6317757009346
88 , 2020-03-29 , -39.3951401869159
