Days,Date,Change
46 , 2020-02-16 , -6.804709495628472
47 , 2020-02-17 , -0.11036225217849194
48 , 2020-02-18 , 2.1275121873483553
49 , 2020-02-19 , 5.5803148066322485
50 , 2020-02-20 , 4.558244732095659
51 , 2020-02-21 , 3.593039079194239
52 , 2020-02-22 , 1.2602835143024933
53 , 2020-02-23 , -1.4671837627577655
54 , 2020-02-24 , -3.060069045946105
55 , 2020-02-25 , -2.9412437252359425
56 , 2020-02-26 , -1.286884312546609
57 , 2020-02-27 , -0.15504769907207816
58 , 2020-02-28 , 0.41266191969752414
59 , 2020-02-29 , -0.0562724171151473
60 , 2020-03-01 , 2.0626744800909975
61 , 2020-03-02 , 3.890299522647116
62 , 2020-03-03 , 3.60267711675952
63 , 2020-03-04 , 1.712395094637582
64 , 2020-03-05 , 0.06604304144062567
65 , 2020-03-06 , 0.1682646519815023
66 , 2020-03-07 , 1.4873907267498852
67 , 2020-03-08 , 1.5364765705924697
68 , 2020-03-09 , 1.3105765466886112
69 , 2020-03-10 , -0.2688787639529515
70 , 2020-03-11 , -1.38053877858502
71 , 2020-03-12 , -1.3468932656298507
72 , 2020-03-13 , -1.8311170347619914
73 , 2020-03-14 , -5.337975415239055
74 , 2020-03-15 , -8.577774622789784
75 , 2020-03-16 , -7.785911787501884
76 , 2020-03-17 , -8.843066822162482
77 , 2020-03-18 , -14.0390789044787
78 , 2020-03-19 , -20.251378238792334
79 , 2020-03-20 , -25.04250512484334
80 , 2020-03-21 , -35.24286775237177
81 , 2020-03-22 , -46.879345179025435
82 , 2020-03-23 , -51.655098259364145
83 , 2020-03-24 , -56.03439000294756
84 , 2020-03-25 , -62.33315309337716
85 , 2020-03-26 , -73.60694087053523
86 , 2020-03-27 , -74.50914880516902
87 , 2020-03-28 , -78.62522364599103
88 , 2020-03-29 , -81.14135991249736
