Days,Date,Change
46 , 2020-02-16 , -7.327438596491247
47 , 2020-02-17 , -5.34680701754387
48 , 2020-02-18 , -4.309333333333339
49 , 2020-02-19 , -4.158428070175444
50 , 2020-02-20 , -5.45291228070176
51 , 2020-02-21 , -5.417543859649129
52 , 2020-02-22 , -4.167859649122813
53 , 2020-02-23 , -1.055438596491238
54 , 2020-02-24 , -0.890385964912293
55 , 2020-02-25 , -1.8453333333333468
56 , 2020-02-26 , -1.314807017543874
57 , 2020-02-27 , -1.102596491228084
58 , 2020-02-28 , -1.102596491228084
59 , 2020-02-29 , -2.1636491228070263
60 , 2020-03-01 , -0.9894175438596591
61 , 2020-03-02 , 0.830877192982444
62 , 2020-03-03 , 0.08578245614033904
63 , 2020-03-04 , -2.1636491228070263
64 , 2020-03-05 , -3.3095859649122845
65 , 2020-03-06 , -2.436491228070184
66 , 2020-03-07 , -1.385543859649135
67 , 2020-03-08 , -0.5932912280701885
68 , 2020-03-09 , -1.9985964912280803
69 , 2020-03-10 , -4.045249122807024
70 , 2020-03-11 , -6.110764912280709
71 , 2020-03-12 , -7.9640701754386045
72 , 2020-03-13 , -9.251480701754394
73 , 2020-03-14 , -13.269333333333343
74 , 2020-03-15 , -15.39143859649124
75 , 2020-03-16 , -18.079438596491237
76 , 2020-03-17 , -21.474807017543867
77 , 2020-03-18 , -28.371649122807028
78 , 2020-03-19 , -35.4200701754386
79 , 2020-03-20 , -39.785543859649124
80 , 2020-03-21 , -44.07522807017544
81 , 2020-03-22 , -47.54638596491228
82 , 2020-03-23 , -50.618385964912285
83 , 2020-03-24 , -58.98301754385966
84 , 2020-03-25 , -64.09880701754388
85 , 2020-03-26 , -69.9436912280702
86 , 2020-03-27 , -71.66259649122809
87 , 2020-03-28 , -73.53712280701755
88 , 2020-03-29 , -74.95185964912281
