Country,date_of_change,retail_and_recreation,grocery_and_pharmacy,transit_stations,workplace,residential
Austria,2020-03-15,-0.87,-0.64,-0.71,-0.51,0.14
Belgium,2020-03-13,-0.84,-0.53,-0.76,-0.52,0.17
Denmark,2020-03-12,-0.37,-0.22,-0.6,-0.28,0.09
France,2020-03-15,-0.88,-0.72,-0.87,-0.56,0.18
Germany,2020-03-15,-0.77,-0.51,-0.68,-0.39,0.11
Italy,2020-03-08,-0.94,-0.85,-0.87,-0.63,0.24
Norway,2020-03-13,-0.65,-0.32,-0.57,-0.34,0.11
Spain,2020-03-13,-0.94,-0.76,-0.88,-0.64,0.22
Sweden,2020-03-15,-0.24,-0.1,-0.36,-0.18,0.05
Switzerland,2020-03-15,-0.81,-0.51,-0.68,-0.46,0.15
United_Kingdom,2020-03-15,-0.85,0,-0.75,-0.55,0.15
