Days, Date, Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , -6.19930640560829
48 , 2020-02-18 , -6.206365486603012
49 , 2020-02-19 , -5.445014188484353
50 , 2020-02-20 , -5.6873969784729
51 , 2020-02-21 , -6.935719819379506
52 , 2020-02-22 , -5.457220516037739
53 , 2020-02-23 , 1.1756684636315144
54 , 2020-02-24 , 2.971196136647135
55 , 2020-02-25 , 1.269642479373805
56 , 2020-02-26 , -1.0086759116739543
57 , 2020-02-27 , -1.0638249819452512
58 , 2020-02-28 , -0.909584062210493
59 , 2020-02-29 , -0.41156589803258614
60 , 2020-03-01 , -1.1082971922120266
61 , 2020-03-02 , -1.7986753134962128
62 , 2020-03-03 , -2.322812077354604
63 , 2020-03-04 , -2.0247423823523056
64 , 2020-03-05 , -0.6208676495262075
65 , 2020-03-06 , 0.7421967712991311
66 , 2020-03-07 , -0.01187484954371354
67 , 2020-03-08 , -4.128887754134361
68 , 2020-03-09 , -6.617514936206539
69 , 2020-03-10 , -6.568647607653767
70 , 2020-03-11 , -9.2323161880029
71 , 2020-03-12 , -16.241169987923715
72 , 2020-03-13 , -26.157852979581723
73 , 2020-03-14 , -37.32966976211493
74 , 2020-03-15 , -45.761599031243854
75 , 2020-03-16 , -49.87243523996412
76 , 2020-03-17 , -53.07866329158248
77 , 2020-03-18 , -55.26197821757623
78 , 2020-03-19 , -57.199401822253684
79 , 2020-03-20 , -57.38646746861392
80 , 2020-03-21 , -51.670641348671985
81 , 2020-03-22 , -51.03140374809424
82 , 2020-03-23 , -54.240764500339225
83 , 2020-03-24 , -60.323751070519336
84 , 2020-03-25 , -60.67458739595721
85 , 2020-03-26 , -59.67431561900456
86 , 2020-03-27 , -59.51548629662322
87 , 2020-03-28 , -57.5477674693434
88 , 2020-03-29 , -56.25726661949331
