"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,17.4932084573537,12.4762632820659,2.40538885778523,3.20284419671681,42.2409115069777,14.4527262705297,42.2409115069777,42.2409115069777,49.1534743396059,"29/02/2020"
"2",3,9,16.2095569216593,13.1497706385411,2.24831158488525,2.87811850104556,43.2552610942523,12.3319882025952,43.2552610942523,43.2552610942523,51.8688132729337,"01/03/2020"
"3",4,10,12.8669067143314,11.1525767546457,2.1401360918732,2.65662650287842,33.6381187884506,9.63052529839965,33.6381187884506,33.6381187884506,42.4664306459248,"02/03/2020"
"4",5,11,9.37931984153281,7.53576450755322,1.93012951827668,2.35346843687206,22.1305478191458,7.42251545145304,22.1305478191458,22.1305478191458,27.4218449613489,"03/03/2020"
"5",6,12,6.84092222795843,4.39092084650734,1.75431307179856,2.0882277360143,14.7312288097262,5.79644790021289,14.7312288097262,14.7312288097262,17.4870886008863,"04/03/2020"
"6",7,13,5.40594515312766,2.84458719331882,1.68155774073945,1.95784389438567,10.7086832589392,4.81009817653518,10.7086832589392,10.7086832589392,12.2859867908849,"05/03/2020"
"7",8,14,4.94344918913544,2.20330577642828,1.79589265029873,2.0585495023325,9.01503323464903,4.5587528927144,9.01503323464903,9.01503323464903,10.0818282119354,"06/03/2020"
"8",9,15,6.58704303387007,2.50147276231177,2.63769943565237,3.02220550576262,11.0753016669765,6.25862061351229,11.0753016669765,11.0753016669765,12.0869984317822,"07/03/2020"
"9",10,16,6.44267493782691,2.34895063312721,2.23290188972265,2.72554670826086,10.4636949158751,6.28509242348779,10.4636949158751,10.4636949158751,11.2495950724266,"08/03/2020"
"10",11,17,4.69186196001965,1.78163577994557,1.53564184551204,1.84355352608692,7.69339869747077,4.60727735264691,7.69339869747077,7.69339869747077,8.2241383160356,"09/03/2020"
"11",12,18,4.42996551193304,1.69420508604403,1.66791290368387,1.88350937514349,7.35919446184858,4.27467906193973,7.35919446184858,7.35919446184858,7.85448133563453,"10/03/2020"
"12",13,19,4.59961477982259,1.69550985702539,1.90995507853566,2.1499550780284,7.62361777798765,4.37679966957762,7.62361777798765,7.62361777798765,8.19476770891564,"11/03/2020"
"13",14,20,4.74363355919804,1.65303322956008,2.00112799455276,2.30006412185131,7.63662425223809,4.54942199141541,7.63662425223809,7.63662425223809,8.27730173402155,"12/03/2020"
"14",15,21,5.30080574104677,1.75227832083203,2.18560161588911,2.55327975127198,8.21874437258567,5.1736458447051,8.21874437258567,8.21874437258567,8.82953848114026,"13/03/2020"
"15",16,22,5.41148572795638,1.77346227745659,2.07643401899693,2.47486037484436,8.2681694361996,5.35722215992488,8.2681694361996,8.2681694361996,8.75753906746349,"14/03/2020"
"16",17,23,5.29326123747188,1.7977966251337,1.94646648918788,2.31514383842177,8.19285164325818,5.24903743081102,8.19285164325818,8.19285164325818,8.62045094039124,"15/03/2020"
"17",18,24,5.42018633070936,1.92237261684384,1.99626172319523,2.34933204314146,8.60048208346272,5.31062906369597,8.60048208346272,8.60048208346272,9.10124172360833,"16/03/2020"
"18",19,25,4.71735624891544,1.72638679357751,1.73260537844586,2.04189961148757,7.65176266844376,4.57052364844576,7.65176266844376,7.65176266844376,8.17497769811825,"17/03/2020"
"19",20,26,4.56118807304626,1.65256377612837,1.7938336747726,2.06775607141574,7.39595872820784,4.39292918283124,7.39595872820784,7.39595872820784,7.94138603412112,"18/03/2020"
"20",21,27,4.16216771795514,1.44196768586047,1.7177762211647,1.98091122481338,6.61774424734593,4.01597780567479,6.61774424734593,6.61774424734593,7.11009434410314,"19/03/2020"
"21",22,28,4.14318765691864,1.34699742028656,1.80247256718097,2.06395112986801,6.39866476858296,4.02523066705483,6.39866476858296,6.39866476858296,6.85341990879328,"20/03/2020"
"22",23,29,3.72860042345553,1.14663210225273,1.64924328334461,1.89964694931944,5.61388213914454,3.65480732634647,5.61388213914454,5.61388213914454,5.96416107750924,"21/03/2020"
