"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,4.9962877546028,5.0006749781188,0.126851584468721,0.25492975116763,14.9859780272646,3.46357138936988,14.9859780272646,14.9859780272646,18.4328257260236,"25/02/2020"
"2",3,9,4.99925997372197,4.99363262568357,0.126218956129509,0.256712003764698,14.9854156117557,3.46291355478488,14.9854156117557,14.9854156117557,18.4101376401087,"26/02/2020"
"3",4,10,4.98849760492452,4.98950929448255,0.12743390467737,0.257399931386491,14.9576668280101,3.4553136962754,14.9576668280101,14.9576668280101,18.4132729082384,"27/02/2020"
"4",5,11,5.00314642831785,4.99955148457409,0.126124937603636,0.258086628431219,14.9792458569234,3.46573860551051,14.9792458569234,14.9792458569234,18.4672387554062,"28/02/2020"
"5",6,12,5.00035641801178,4.99479575871145,0.127643304753102,0.257292945709594,14.9724002935262,3.47167081146386,14.9724002935262,14.9724002935262,18.4437722168559,"29/02/2020"
"6",7,13,5.00464598638506,5.00629588480787,0.126507360681167,0.255339403454662,15.0114666281171,3.46787732331051,15.0114666281171,15.0114666281171,18.4381067487905,"01/03/2020"
"7",8,14,10.0016181995315,7.08127227126458,1.20646463429187,1.77465286465357,23.7272498637306,8.38920741147182,23.7272498637306,23.7272498637306,27.8922077864917,"02/03/2020"
"8",9,15,36.4788821824525,14.7066907067029,11.2915286320535,14.6166475470266,62.8066589713623,35.0933177156408,62.8066589713623,62.8066589713623,69.1941561949487,"03/03/2020"
"9",10,16,45.2199855418515,23.7711823606177,3.95006646523001,6.40298029476413,84.4827168607411,45.7391994137425,84.4827168607411,84.4827168607411,92.3430827405533,"04/03/2020"
"10",11,17,49.5860023288157,36.9967043690001,3.37288212037195,4.81753420024697,118.995653882676,42.1023454032022,118.995653882676,118.995653882676,131.555205157945,"05/03/2020"
"11",12,18,57.0549575418844,58.7188594035321,3.97190225677181,5.46261992754626,196.849856318086,36.8941084989996,196.849856318086,196.849856318086,228.579859125653,"06/03/2020"
"12",13,19,58.8710139753619,76.7969347055141,4.13480661380313,5.80718571770308,206.995424508851,35.3758780436689,206.995424508851,206.995424508851,290.929271016098,"07/03/2020"
"13",14,20,40.1857469475571,60.1977288527552,2.95147612224133,4.17007755407855,119.149969211159,25.6597831795031,119.149969211159,119.149969211159,164.625731235022,"08/03/2020"
"14",15,21,20.5920306363226,27.131833121534,2.00385674805874,2.6870414622721,57.2407299835049,14.3766368082773,57.2407299835049,57.2407299835049,72.9954453089658,"09/03/2020"
"15",16,22,11.2881482772504,10.5850634288767,1.71362541202714,2.13294235821556,30.4372803500246,8.48802351416867,30.4372803500246,30.4372803500246,37.7040480173351,"10/03/2020"
"16",17,23,6.60204945902032,4.978906648888,1.51117275164961,1.79134688216381,16.1389319947245,5.32627159541206,16.1389319947245,16.1389319947245,19.7039778982341,"11/03/2020"
"17",18,24,4.52668959613137,2.6785746392742,1.47409050905215,1.68109336456942,9.43647510356359,3.93109604328047,9.43647510356359,9.43647510356359,11.2135664352575,"12/03/2020"
"18",19,25,3.62733584849662,1.58056370005571,1.52196234117734,1.70462300154377,6.42560340190839,3.3569343015346,6.42560340190839,6.42560340190839,7.32287882634555,"13/03/2020"
"19",20,26,3.42329305269999,1.10316417167626,1.65773669382617,1.85876711458213,5.32507826903326,3.30798476343472,5.32507826903326,5.32507826903326,5.77382264116007,"14/03/2020"
"20",21,27,3.08059072201481,0.817173569888209,1.548464416999,1.76540668695081,4.43103453234563,3.05723726465161,4.43103453234563,4.43103453234563,4.65313635693933,"15/03/2020"
"21",22,28,3.28186142946504,0.78781166163626,1.70798484260312,1.92974313652325,4.52002212692197,3.3086823547704,4.52002212692197,4.52002212692197,4.66377302603692,"16/03/2020"
"22",23,29,3.3216838503503,0.782910243848696,1.67657384647416,1.93019268080235,4.4939405148993,3.38204208215236,4.4939405148993,4.4939405148993,4.61278984180241,"17/03/2020"
"23",24,30,3.15545960985182,0.762964893045183,1.5518115563646,1.78764560164108,4.2798621181357,3.22340982937066,4.2798621181357,4.2798621181357,4.39512067700224,"18/03/2020"
"24",25,31,3.11693944297619,0.768923669333313,1.55607170592886,1.76999927800648,4.2702888457613,3.17202007397349,4.2702888457613,4.2702888457613,4.40362168946749,"19/03/2020"
"25",26,32,3.04995017166721,0.755212441390491,1.54716141094133,1.75544009398684,4.20784839478582,3.08825406105338,4.20784839478582,4.20784839478582,4.36219283382545,"20/03/2020"
"26",27,33,3.04903261391878,0.744224882748391,1.57475933770844,1.7815304326805,4.20098639337808,3.07965315477535,4.20098639337808,4.20098639337808,4.36683219681394,"21/03/2020"
"27",28,34,3.14449010487563,0.751555079162527,1.635630408499,1.85352905952613,4.30212539217243,3.17929657400483,4.30212539217243,4.30212539217243,4.46841325722528,"22/03/2020"
"28",29,35,3.06893536556743,0.726896667038699,1.57312781958784,1.79601719247973,4.16855237076554,3.11392169832829,4.16855237076554,4.16855237076554,4.32016528465288,"23/03/2020"
"29",30,36,2.68008032230043,0.632540734076435,1.37848445730859,1.56550121747801,3.63014823777122,2.72568615763548,3.63014823777122,3.63014823777122,3.75315201327831,"24/03/2020"
"30",31,37,2.53494583342272,0.580198295588371,1.38612478440364,1.53834505833212,3.42070813483295,2.56898714132149,3.42070813483295,3.42070813483295,3.53357186346548,"25/03/2020"
"31",32,38,2.42195540262214,0.524535941201021,1.39614938069781,1.53803489418712,3.23469391502669,2.4425657732554,3.23469391502669,3.23469391502669,3.3431790855609,"26/03/2020"
