"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,2.04849624087699,1.1231693457493,0.636137797433084,0.763933871482801,4.06492993177432,1.81781112103529,4.06492993177432,4.06492993177432,4.78109507675176,"14/02/2020"
"2",3,9,0.286800723307551,0.299190418981347,0.00694641784744235,0.0141017458447134,0.876321302163225,0.193509682323663,0.876321302163225,0.876321302163225,1.09252014674712,"15/02/2020"
"3",4,10,0.262968751681984,0.275021609272812,0.00647307212552568,0.0132247249679051,0.79460253795028,0.178598193854994,0.79460253795028,0.79460253795028,0.990873916946918,"16/02/2020"
"4",5,11,0.543248272692407,0.467082730895053,0.0614128447906483,0.0902741313650458,1.32840844635986,0.434329560128041,1.32840844635986,1.32840844635986,1.62353241775341,"17/02/2020"
"5",6,12,0.574951576564123,0.463854717222163,0.0637917405465941,0.094142478751672,1.44264009683604,0.458584716455005,1.44264009683604,1.44264009683604,1.76822013466025,"18/02/2020"
"6",7,13,0.642605183271898,0.521802617585833,0.0700261312546061,0.103198302524915,1.63553496210261,0.508006817615107,1.63553496210261,1.63553496210261,2.00177458087112,"19/02/2020"
"7",8,14,0.739191233737977,0.593965283907133,0.0804086836961792,0.118310908440003,1.87959784157309,0.585670809284296,1.87959784157309,1.87959784157309,2.28939411512705,"20/02/2020"
"8",9,15,0.864474821646458,0.680551434776064,0.0954775654309991,0.140398214609892,2.18215110396209,0.690672431120844,2.18215110396209,2.18215110396209,2.63980266131158,"21/02/2020"
"9",10,16,1.00825848953562,0.779398157728892,0.113170035293351,0.165865819858543,2.51457590388293,0.813429273778268,2.51457590388293,2.51457590388293,3.02570209263508,"22/02/2020"
"10",11,17,1.15689140478649,0.879678646673223,0.13280368779091,0.195031094347117,2.84793116395415,0.941400798954722,2.84793116395415,2.84793116395415,3.41066945166381,"23/02/2020"
"11",12,18,0.641396239714268,0.659526954936966,0.0156112465600802,0.032004106135449,1.94314542942557,0.436383075465966,1.94314542942557,1.94314542942557,2.41399019900731,"24/02/2020"
"12",13,19,0.721629142774667,0.757411742473048,0.0176116932720176,0.0358350968177451,2.19162857333139,0.488608540539433,2.19162857333139,2.19162857333139,2.73078137661267,"25/02/2020"
"13",14,20,2.47434706990617,1.65321670645063,0.473594472214361,0.629626325571913,5.47621727226717,2.1162286330574,5.47621727226717,5.47621727226717,6.53685206559624,"26/02/2020"
"14",15,21,5.08931671924377,2.19907304741947,1.79351817759335,2.13511062092955,9.17156653382779,4.75584942374011,9.17156653382779,9.17156653382779,10.2817800096365,"27/02/2020"
"15",16,22,22.1867567256537,6.10333140225947,9.46220052761397,11.7675352712551,32.2595930873987,22.1168341448879,32.2595930873987,32.2595930873987,34.6014161779752,"28/02/2020"
"16",17,23,31.0257922780344,13.7717401247031,4.10003343778897,5.73263738946145,50.9891187381036,33.2250546948436,50.9891187381036,50.9891187381036,54.5739368966887,"29/02/2020"
"17",18,24,40.0911532871806,27.667719364904,3.76182773130167,4.86712428179599,90.2798673478962,35.5951595947755,90.2798673478962,90.2798673478962,99.0553980056167,"01/03/2020"
"18",19,25,29.8675317332121,30.3932541029696,2.5564158400982,3.25069757264854,97.0189728053631,20.4380413203164,97.0189728053631,97.0189728053631,119.966125375631,"02/03/2020"
"19",20,26,20.652665595736,28.0514920543194,2.31515851259912,2.78918092948429,62.9594938736286,13.1431997219173,62.9594938736286,62.9594938736286,92.6369302543019,"03/03/2020"
"20",21,27,11.3376890246759,12.1846788972712,1.89661316117132,2.24088785981757,30.1792428947478,8.18193498625907,30.1792428947478,30.1792428947478,42.6782363765771,"04/03/2020"
"21",22,28,7.95804653189083,5.88188877427449,1.95693215378169,2.24024993881861,18.0703446743382,6.53319926366031,18.0703446743382,18.0703446743382,23.6897860677531,"05/03/2020"
"22",23,29,6.83872584716272,3.70145647962137,2.12140108812688,2.41822612602886,13.6018354849782,6.09431410594233,13.6018354849782,13.6018354849782,16.3217560446999,"06/03/2020"
"23",24,30,6.51500129287253,2.8699698928609,2.20866549183833,2.54177428636016,11.7105489921076,6.11203608297236,11.7105489921076,11.7105489921076,13.1468769943432,"07/03/2020"
"24",25,31,5.02028194683825,1.99176982702984,1.72187688220051,1.99756878157391,8.48550049229335,4.85659175260764,8.48550049229335,8.48550049229335,9.19329951761924,"08/03/2020"
"25",26,32,5.82732108270402,2.16568958563627,2.22347579633319,2.49759831640836,9.54459203030819,5.68881258757606,9.54459203030819,9.54459203030819,10.2010256455565,"09/03/2020"
"26",27,33,5.27101401895837,1.91200329919632,1.94344329348664,2.2543439342028,8.52050833163997,5.17397153620964,8.52050833163997,8.52050833163997,9.06353079686099,"10/03/2020"
"27",28,34,4.93825490189399,1.77805841805378,1.85914839012221,2.12236943081732,7.95533092716823,4.86015954666726,7.95533092716823,7.95533092716823,8.45649792587353,"11/03/2020"
"28",29,35,4.64108303155399,1.63943970589071,1.82381245275678,2.06541695635103,7.42707474232082,4.56329537559328,7.42707474232082,7.42707474232082,7.91363966955613,"12/03/2020"
"29",30,36,4.25862370600197,1.45623873581568,1.7495798149581,1.96903275734947,6.72617652021975,4.18758669910882,6.72617652021975,6.72617652021975,7.15086933352964,"13/03/2020"
"30",31,37,3.99916024207885,1.30790945610062,1.73066585272864,1.93409533277554,6.20466467606238,3.9377742453305,6.20466467606238,6.20466467606238,6.57353284712109,"14/03/2020"
"31",32,38,3.80396245674344,1.18182994942704,1.71970905624108,1.91470421002427,5.78286669438375,3.75639283591462,5.78286669438375,5.78286669438375,6.11070172226028,"15/03/2020"
"32",33,39,3.35541442772959,0.989758698481719,1.56848131901979,1.74318670338662,4.98358331658978,3.32881024696676,4.98358331658978,4.98358331658978,5.23063865351302,"16/03/2020"
