"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,5.00030821070353,4.99885768446994,0.126860077648268,0.257351495635687,14.9777129177847,3.46971979535357,14.9777129177847,14.9777129177847,18.4147188384244,"22/02/2020"
"2",3,9,5.00235171648753,4.99921366049121,0.126670669383056,0.258483653998007,14.9743016463036,3.46888868352032,14.9743016463036,14.9743016463036,18.4157090018053,"23/02/2020"
"3",4,10,5.00069072102925,5.0008615377779,0.125109954511485,0.254116796150806,15.0002748155255,3.4666361248195,15.0002748155255,15.0002748155255,18.4574759562657,"24/02/2020"
"4",5,11,4.99854616499684,4.99957016878475,0.126548883152555,0.255670442702725,14.9907858599087,3.46235101360542,14.9907858599087,14.9907858599087,18.4142077380857,"25/02/2020"
"5",6,12,14.9930295976111,8.6638646665031,3.08958753362155,4.0854824388224,31.481581895527,13.3599396795485,31.481581895527,31.481581895527,36.152945585041,"26/02/2020"
"6",7,13,30.4345201709895,13.8686017379317,7.15520249421011,9.88942063630912,55.3612818358538,29.0831461418568,55.3612818358538,55.3612818358538,61.4501458713842,"27/02/2020"
"7",8,14,105.402182972598,53.255752988884,13.1723327706802,18.1075024820307,187.126841351774,110.672093219684,187.126841351774,187.126841351774,199.894979194546,"28/02/2020"
"8",9,15,79.3956611237688,64.7600044119098,3.80037626956808,5.43367048826111,206.029564763652,62.979192416444,206.029564763652,206.029564763652,225.974152283598,"29/02/2020"
"9",10,16,83.2688850024003,103.844237799129,4.516831525225,5.71926859817434,334.490720632957,43.4125067582467,334.490720632957,334.490720632957,419.672668307126,"01/03/2020"
"10",11,17,41.3380976745001,70.9592588675145,2.63921875066393,3.36652701492867,160.964717742868,19.1856667133836,160.964717742868,160.964717742868,267.864763595985,"02/03/2020"
"11",12,18,19.838932464262,33.6427831162503,2.14256978709884,2.56416537928382,63.569784256076,10.6985370972418,63.569784256076,63.569784256076,111.009985956832,"03/03/2020"
"12",13,19,10.5349986497165,12.3988823215383,2.00285515782695,2.31521896437289,28.950922509699,7.1456993539126,28.950922509699,28.950922509699,45.0117323016635,"04/03/2020"
"13",14,20,7.33583241954778,5.5358558768782,2.06828144436906,2.34527640052144,17.2042119711857,5.87120799528564,17.2042119711857,17.2042119711857,22.7888643578888,"05/03/2020"
"14",15,21,6.5695974850423,3.4998825588947,2.30169142211779,2.59853271982523,13.0509370101609,5.80361880668802,13.0509370101609,13.0509370101609,15.4703478498073,"06/03/2020"
"15",16,22,7.86833960749435,3.34748449744349,2.95123745245632,3.36403573411903,13.9573124254603,7.35357542265827,13.9573124254603,13.9573124254603,15.5741032484894,"07/03/2020"
"16",17,23,6.486476046924,2.56684854371263,2.20061337502002,2.59160059109956,10.9725764532168,6.2783689030611,10.9725764532168,10.9725764532168,11.8513403447799,"08/03/2020"
"17",18,24,4.83603488044718,1.93266204486284,1.67134856163767,1.91302749426528,8.20076632004193,4.69411091639822,8.20076632004193,8.20076632004193,8.76243662927175,"09/03/2020"
"18",19,25,4.41428838612874,1.74117768343025,1.758652784324,1.94269512302983,7.57469215365455,4.20159289454961,7.57469215365455,7.57469215365455,8.10766777448191,"10/03/2020"
"19",20,26,3.6272372267764,1.34828158412615,1.61636582516193,1.77598847162113,6.13418462260492,3.43116453014127,6.13418462260492,6.13418462260492,6.63179171352064,"11/03/2020"
"20",21,27,3.24534376649067,1.07755266572141,1.61262825185491,1.75241494221421,5.20028113113578,3.10347083102826,5.20028113113578,5.20028113113578,5.63649088575748,"12/03/2020"
"21",22,28,3.81196567420238,1.08811629308462,2.06257012767627,2.23133759896834,5.70868393430615,3.7015590513982,5.70868393430615,5.70868393430615,6.07780066493986,"13/03/2020"
