"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,24.6583738382661,22.1256979990189,2.44572829714038,3.4142771184559,73.140808422787,17.8486647315297,73.140808422787,73.140808422787,87.8196497623619,"02/03/2020"
"2",3,9,19.068631067959,20.7376499765621,2.15222396928998,2.77884298469931,61.0419283183789,12.4718303497823,61.0419283183789,61.0419283183789,84.1378560609525,"03/03/2020"
"3",4,10,12.4738140351006,13.4894502510119,2.02182618431359,2.49704743078555,36.0969552313037,8.57930095444106,36.0969552313037,36.0969552313037,51.7535106424249,"04/03/2020"
"4",5,11,10.8188737650358,8.97327917964028,2.49744322354233,3.01165607071944,27.1675522118825,8.41266048817417,27.1675522118825,27.1675522118825,35.7206242694408,"05/03/2020"
"5",6,12,9.42622434411265,5.84404977145435,2.46516495112417,3.06554638097349,20.500089644337,8.08122461681051,20.500089644337,20.500089644337,25.0401763587537,"06/03/2020"
"6",7,13,7.79381171846268,4.00758539873266,2.13490511827376,2.66566911228245,15.3500364187467,7.07765848568712,15.3500364187467,15.3500364187467,17.6933993931747,"07/03/2020"
"7",8,14,6.37744361678295,2.98549504914036,1.89802242561679,2.30556509888072,12.0096520085666,5.93170451641846,12.0096520085666,12.0096520085666,13.3813652838428,"08/03/2020"
"8",9,15,4.9683904327511,2.19818802535577,1.65410272742644,1.95885591057127,9.14829008139894,4.63808016793015,9.14829008139894,9.14829008139894,10.0721708991455,"09/03/2020"
"9",10,16,3.91018240394793,1.60974593132501,1.51191014508067,1.73189653487443,6.99366241825892,3.65241609768273,6.99366241825892,6.99366241825892,7.70579013880088,"10/03/2020"
"10",11,17,4.18234017007441,1.51939211360986,1.89332982672165,2.11456548177184,7.05755382054683,3.93996407414444,7.05755382054683,7.05755382054683,7.74137247862357,"11/03/2020"
"11",12,18,5.61325840060991,1.78437404923034,2.59168453034595,3.00315497794855,8.83413505647182,5.39708598175953,8.83413505647182,8.83413505647182,9.55063709851695,"12/03/2020"
"12",13,19,5.30474174123964,1.64645035763785,2.0521671604116,2.57376127506319,8.07244101476197,5.24213589840327,8.07244101476197,8.07244101476197,8.55309195955445,"13/03/2020"
"13",14,20,3.83247771138617,1.2520364831236,1.42692458246921,1.73113862014714,5.88907608087264,3.82735039582702,5.88907608087264,5.88907608087264,6.17710557914229,"14/03/2020"
"14",15,21,4.36631143642973,1.44670726700868,1.88174841824394,2.12077253792056,6.86614525613952,4.28846293982588,6.86614525613952,6.86614525613952,7.19859331552469,"15/03/2020"
"15",16,22,3.99317970970739,1.31520838164464,1.74090156113727,2.02852372073385,6.37988315566109,3.85985936712664,6.37988315566109,6.37988315566109,6.77737440968334,"16/03/2020"
"16",17,23,3.30558456649301,1.05491690895539,1.49588509068646,1.72489084077322,5.22051356679431,3.19570192605801,5.22051356679431,5.22051356679431,5.61601444014206,"17/03/2020"
"17",18,24,2.72161870588467,0.797332824168947,1.35933641340582,1.52057188534315,4.12472321124459,2.64287360872188,4.12472321124459,4.12472321124459,4.40871323960891,"18/03/2020"
"18",19,25,1.97322662205375,0.506663625034017,1.10818101657981,1.20387712897712,2.8632906974465,1.92633932556599,2.8632906974465,2.8632906974465,3.01756336828592,"19/03/2020"
"19",20,26,1.62998965539339,0.346748010658777,1.07069990178583,1.11775698360079,2.24703087139297,1.59237002498881,2.24703087139297,2.24703087139297,2.3428582178373,"20/03/2020"
"20",21,27,1.68965177513934,0.279311734591787,1.2542484810461,1.29219384593789,2.19051985568107,1.65329587537614,2.19051985568107,2.19051985568107,2.26492794508817,"21/03/2020"
"21",22,28,1.36318333845027,0.17774235294116,1.05541796100088,1.09332833163887,1.67185793210844,1.34821516378595,1.67185793210844,1.67185793210844,1.71387580687952,"22/03/2020"
"22",23,29,1.2892293297641,0.129173335345502,1.06671570018636,1.09016686583838,1.50999588389466,1.28125423742468,1.50999588389466,1.50999588389466,1.54041135796534,"23/03/2020"
"23",24,30,1.37334684094321,0.106814063164495,1.18708079173056,1.2092571569525,1.55667595341577,1.36722273658334,1.55667595341577,1.55667595341577,1.58523350290584,"24/03/2020"
"24",25,31,1.36114858795038,0.0926403688619708,1.17885290419133,1.21126554622126,1.51411030614329,1.35966314883697,1.51411030614329,1.51411030614329,1.53931869899601,"25/03/2020"
