"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,5.00074823375875,4.99964692641112,0.1272365691334,0.257286248833655,14.9853412962143,3.46584102512925,14.9853412962143,14.9853412962143,18.4243960307889,"25/02/2020"
"2",3,9,5.00312733836848,5.00382762619951,0.126805241623809,0.256296430491716,15.0018037721518,3.46295417954474,15.0018037721518,15.0018037721518,18.4783010019674,"26/02/2020"
"3",4,10,9.99391760129191,7.07139820910148,1.20993966397546,1.77453141200267,23.751991888352,8.38185438681864,23.751991888352,23.751991888352,27.8701053911476,"27/02/2020"
"4",5,11,32.0156734349793,13.3792009045767,10.3139741217711,12.9318932697688,56.3289260781689,30.470512378902,56.3289260781689,56.3289260781689,62.466182682758,"28/02/2020"
"5",6,12,41.7906481122652,21.7280951009016,5.21265094555911,7.6271522435907,78.6837085522573,41.4349817012309,78.6837085522573,78.6837085522573,86.4234713291359,"29/02/2020"
"6",7,13,28.4604613063855,21.8744469211426,2.40638580651006,3.28332807140978,70.4736474205149,23.0339815344772,70.4736474205149,70.4736474205149,79.4054293114285,"01/03/2020"
"7",8,14,16.6961077534565,17.3559557067036,1.70754118698612,2.13938881211263,55.0229621657421,10.3245978748302,55.0229621657421,55.0229621657421,67.4051923421744,"02/03/2020"
"8",9,15,9.26260059492848,11.8715948930589,1.41869110528105,1.68902574458082,30.4779227520692,5.50904773679281,30.4779227520692,30.4779227520692,46.6472893038416,"03/03/2020"
"9",10,16,7.89407185062523,9.96975875997889,1.99963741677518,2.27773026483966,19.8099159432133,5.39514586273702,19.8099159432133,19.8099159432133,30.3344907628667,"04/03/2020"
"10",11,17,6.47296269278454,5.27509978761666,2.22521689540399,2.55525850697024,12.9928429035159,5.33277528586621,12.9928429035159,12.9928429035159,17.0822932797704,"05/03/2020"
"11",12,18,6.94180308110684,3.11329477986619,2.67642836650379,3.10898174065564,12.2474768835618,6.39237573676126,12.2474768835618,12.2474768835618,14.0184881537238,"06/03/2020"
"12",13,19,11.3800975294337,4.21919785338883,4.21455012475491,4.94523769816514,18.6606937152788,11.0143184861,18.6606937152788,18.6606937152788,20.0924349552402,"07/03/2020"
"13",14,20,9.56201457379511,3.92721433220719,2.64431107586579,3.25659535331537,16.0496292982946,9.44792573085757,16.0496292982946,16.0496292982946,17.0378928897297,"08/03/2020"
"14",15,21,8.35009443686961,3.96372915914383,2.22488663364441,2.61384652494599,15.3469516753522,7.94353827623121,15.3469516753522,15.3469516753522,16.3964161018991,"09/03/2020"
"15",16,22,6.88765547644324,3.57413582305022,2.00936846138161,2.31066030378494,13.8715783438507,6.18443138857272,13.8715783438507,13.8715783438507,15.4120981088251,"10/03/2020"
"16",17,23,5.95955514196115,3.10856444440662,2.0038591105556,2.2646214076622,12.1274975527371,5.24130660027106,12.1274975527371,12.1274975527371,14.0563037629505,"11/03/2020"
"17",18,24,5.74333763158149,2.73718610431962,2.19904982468337,2.464020591376,10.8777052836799,5.13221249314128,10.8777052836799,10.8777052836799,12.8601944423937,"12/03/2020"
"18",19,25,5.28945937143793,2.18740522299889,2.15436044001578,2.4186665694092,9.21129616200533,4.89217394926981,9.21129616200533,9.21129616200533,10.487031838201,"13/03/2020"
"19",20,26,4.37625273197058,1.6018907367772,1.84107313229154,2.06176435699069,7.18006625434778,4.16344753025454,7.18006625434778,7.18006625434778,7.86028331609063,"14/03/2020"
"20",21,27,3.89884684366546,1.31928086191139,1.75147325228559,1.93962948326719,6.19817541651195,3.74738129008791,6.19817541651195,6.19817541651195,6.64214671961139,"15/03/2020"
"21",22,28,3.23220085819289,1.0274694306317,1.55894261860108,1.71505634733305,5.03164389469222,3.11047422764228,5.03164389469222,5.03164389469222,5.36116310883226,"16/03/2020"
"22",23,29,2.65687585612273,0.778588309232293,1.40251332338862,1.52145755884776,4.02432534664363,2.55882464833349,4.02432534664363,4.02432534664363,4.29413093003979,"17/03/2020"
"23",24,30,2.05219463978122,0.530930616676669,1.2025985476727,1.28464431133443,2.9763945475644,1.9848087554349,2.9763945475644,2.9763945475644,3.16586907780406,"18/03/2020"
"24",25,31,1.69706162221566,0.364266594590691,1.12178767390553,1.17331599655186,2.32693597496373,1.65085644768044,2.32693597496373,2.32693597496373,2.44452486178465,"19/03/2020"
"25",26,32,1.39677691091417,0.235070101636848,1.02683335270921,1.06079504002976,1.80584211732823,1.36651439025295,1.80584211732823,1.80584211732823,1.86711551802845,"20/03/2020"
"26",27,33,1.31619359494943,0.165278220242594,1.05480503352928,1.07951688983231,1.6059292484591,1.29351443113861,1.6059292484591,1.6059292484591,1.64404954145312,"21/03/2020"
"27",28,34,1.17434071357292,0.110200163131493,0.988655954088944,1.00984218749688,1.36611777116308,1.16275967870628,1.36611777116308,1.36611777116308,1.39408732800522,"22/03/2020"
