"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,5.00410602352184,5.00267967217623,0.127544287731864,0.257623062611284,14.9559634380886,3.47127701702449,14.9559634380886,14.9559634380886,18.4589892882526,"21/02/2020"
"2",3,9,4.99929186225179,5.00207916886788,0.126140575758897,0.256180376957114,14.9828215024214,3.46106642576285,14.9828215024214,14.9828215024214,18.4479604092085,"22/02/2020"
"3",4,10,4.99559879527465,5.00383676317895,0.126912272790929,0.256836248404263,14.9531141200039,3.45368198043738,14.9531141200039,14.9531141200039,18.4040337467252,"23/02/2020"
"4",5,11,5.001166214738,5.00888519814536,0.127289159663225,0.257366588684504,14.9945194027551,3.46393245162298,14.9945194027551,14.9945194027551,18.4626793129736,"24/02/2020"
"5",6,12,5.0022164871892,5.00753466328771,0.12656028752877,0.257106681710725,14.9735236240027,3.46626752117649,14.9735236240027,14.9735236240027,18.4739708264871,"25/02/2020"
"6",7,13,9.99121290193744,7.06470141567725,1.20347121994105,1.77427117275888,23.678684295189,8.37956857278886,23.678684295189,23.678684295189,27.8162901725551,"26/02/2020"
"7",8,14,9.0155775652452,6.72474224046017,0.943646247896309,1.40659132678332,22.1750934411306,7.39612195983531,22.1750934411306,22.1750934411306,26.1640248527681,"27/02/2020"
"8",9,15,34.4527979833421,16.0146008660136,8.7656985534357,11.028419274014,63.0962184863181,32.9911608985688,63.0962184863181,63.0962184863181,69.8587454378161,"28/02/2020"
"9",10,16,36.3122068682374,21.9690204473227,3.09119618584224,4.75603885417329,75.1230310109917,34.7755076251527,75.1230310109917,75.1230310109917,83.17188467097,"29/02/2020"
"10",11,17,32.4832031678987,26.2884969131197,2.47475784691557,3.36574220823482,84.8824781926612,25.7497079945968,84.8824781926612,84.8824781926612,96.9934921368277,"01/03/2020"
"11",12,18,22.9030734543165,23.5226352077036,2.07765725198766,2.67768560301138,72.6014559954656,14.984964201618,72.6014559954656,72.6014559954656,91.3057917189637,"02/03/2020"
"12",13,19,14.2747026531171,16.7395778184511,1.81927172628684,2.24397775854105,42.7774270920437,9.22711031534333,42.7774270920437,42.7774270920437,59.0574410525547,"03/03/2020"
"13",14,20,8.66378836024882,8.81455136681737,1.65011518950992,1.97492149905365,22.0456621697389,6.30429097444792,22.0456621697389,22.0456621697389,30.0181653251939,"04/03/2020"
"14",15,21,7.54760808796121,5.5962716795657,2.05800602807177,2.39731411502565,16.1891792532749,6.212230164947,16.1891792532749,16.1891792532749,20.4776628142609,"05/03/2020"
"15",16,22,6.70616363679067,3.49268209195368,2.05463017490383,2.46388294654312,12.7654739572872,6.03985926606702,12.7654739572872,12.7654739572872,14.8935267653403,"06/03/2020"
"16",17,23,11.360472380421,4.81978046336431,3.63302352399726,4.38273515110729,19.8160208591626,10.7957945341318,19.8160208591626,19.8160208591626,21.8619549606015,"07/03/2020"
"17",18,24,9.84707461299402,4.30504673894586,2.17174490440991,2.95651088800827,17.0260515697012,9.68845336821247,17.0260515697012,17.0260515697012,18.2777434152773,"08/03/2020"
"18",19,25,8.40111154694532,4.0290834028334,1.8669149902197,2.34413023863238,15.2343263964123,8.13727747146132,15.2343263964123,15.2343263964123,16.2886437602477,"09/03/2020"
"19",20,26,6.29323993124173,3.21301637052292,1.5792518196121,1.89759840249921,12.167494594013,5.79195138660185,12.167494594013,12.167494594013,13.2459995478406,"10/03/2020"
"20",21,27,5.57146635499723,2.82773907487346,1.73010175614531,1.98509670821087,10.9250326700409,4.98718593979134,10.9250326700409,10.9250326700409,12.4172938115746,"11/03/2020"
"21",22,28,4.94595009283789,2.3048378715221,1.75389024415845,2.02849143879304,9.11413489100653,4.50251288754868,9.11413489100653,9.11413489100653,10.5596302676412,"12/03/2020"
"22",23,29,4.6158518849031,1.8630749793425,1.78688947783048,2.07386232545321,7.78883322460454,4.34428874795128,7.78883322460454,7.78883322460454,8.82528265357095,"13/03/2020"
"23",24,30,4.05128615159652,1.41601344705649,1.63204262350383,1.90521855766921,6.43577139966453,3.92829667271684,6.43577139966453,6.43577139966453,6.92793451586367,"14/03/2020"
"24",25,31,3.70381155615458,1.18215083606694,1.58744146978207,1.82019700834199,5.65621162700138,3.65280161150104,5.65621162700138,5.65621162700138,5.94643009993236,"15/03/2020"
"25",26,32,4.92135218728277,1.48678810457806,2.22277805561651,2.52817775455759,7.34375858273063,4.87604016664539,7.34375858273063,7.34375858273063,7.6570588195355,"16/03/2020"
"26",27,33,3.75267791163214,1.16891764258832,1.45475093627803,1.78241834618554,5.60301866697581,3.75433218619405,5.60301866697581,5.60301866697581,5.84709196456328,"17/03/2020"
"27",28,34,3.46884585176844,1.08937129339968,1.48300783930222,1.68054319073885,5.20726720218888,3.46469357958399,5.20726720218888,5.20726720218888,5.44646887557338,"18/03/2020"
"28",29,35,2.99039042720097,0.909186399018941,1.39034823482413,1.55549196608224,4.48349877780422,2.95647102307678,4.48349877780422,4.48349877780422,4.69972141041676,"19/03/2020"
"29",30,36,3.05187109089035,0.86129562753197,1.56751652108528,1.71952109316825,4.49776366778517,2.99838337497022,4.49776366778517,4.49776366778517,4.72801806272446,"20/03/2020"
"30",31,37,3.02267647498629,0.787322483578142,1.57942574487872,1.77213036444196,4.32341279302862,2.98149007132491,4.32341279302862,4.32341279302862,4.53630416691076,"21/03/2020"
"31",32,38,3.13784487815056,0.768453162022588,1.63923909393741,1.85237452353664,4.34833292974417,3.12595450573793,4.34833292974417,4.34833292974417,4.51781836336488,"22/03/2020"
"32",33,39,2.616793295446,0.626997511874186,1.33051309838705,1.52021802907571,3.56364330368477,2.63681080829035,3.56364330368477,3.56364330368477,3.66685342309919,"23/03/2020"
"33",34,40,2.65713088691951,0.614098389944937,1.45810189698513,1.59493872237007,3.58440682611245,2.68191592977527,3.58440682611245,3.58440682611245,3.66828120641671,"24/03/2020"
"34",35,41,2.35373105135919,0.529801411844088,1.31720396408697,1.4553311152434,3.16679411276001,2.36485581501646,3.16679411276001,3.16679411276001,3.24648014142327,"25/03/2020"
"35",36,42,2.17444143820987,0.463229747635611,1.29520283274111,1.40014004978724,2.90087736103938,2.17356153762251,2.90087736103938,2.90087736103938,2.9863488021385,"26/03/2020"
"36",37,43,1.8940056749045,0.369391864597037,1.19738545614847,1.28269224962907,2.47366033502631,1.88971407365365,2.47366033502631,2.47366033502631,2.54474435417831,"27/03/2020"
"37",38,44,1.75165122115152,0.298651138204485,1.2025746976421,1.2604028958862,2.22127694929903,1.74532717627004,2.22127694929903,2.22127694929903,2.27372921311087,"28/03/2020"
"38",39,45,1.50904714092119,0.22053499147455,1.09892026122078,1.14588074892232,1.85539461879634,1.50448373580813,1.85539461879634,1.85539461879634,1.88571585677212,"29/03/2020"
"39",40,46,1.40585510732239,0.169072810897648,1.10532915384838,1.13275011736495,1.67368651259855,1.40023805708595,1.67368651259855,1.67368651259855,1.69474471374259,"30/03/2020"
"40",41,47,1.30891663789221,0.127380230831165,1.08444676408486,1.10660545253953,1.51230622659634,1.30292310524429,1.51230622659634,1.51230622659634,1.52901092698845,"31/03/2020"
"41",42,48,1.2100393302598,0.0939089315225824,1.04403554067095,1.06170964790776,1.36185831805625,1.20496847009428,1.36185831805625,1.36185831805625,1.37593556243236,"01/04/2020"
"42",43,49,1.15373904090841,0.0696295834991929,1.03423124038021,1.04652224628672,1.26981398442418,1.14882466867826,1.26981398442418,1.26981398442418,1.28238240108644,"02/04/2020"
"43",44,50,1.12694841262515,0.0525461849792343,1.03849304922079,1.04801474640308,1.21740130758638,1.12240808389229,1.21740130758638,1.21740130758638,1.22895755565118,"03/04/2020"
"44",45,51,1.04078317335766,0.0383755253113665,0.974902276126138,0.982984704959297,1.10779640057421,1.03758196976786,1.10779640057421,1.10779640057421,1.11770685593312,"04/04/2020"
"45",46,52,1.0085646738384,0.0278565577846752,0.96167504950984,0.967497157898378,1.05881737334613,1.00553225864501,1.05881737334613,1.05881737334613,1.06748642585384,"05/04/2020"
"46",47,53,0.952523294002837,0.0205685609106846,0.915283180195263,0.920450688968325,0.988373527840144,0.951536563976003,0.988373527840144,0.988373527840144,0.995510922444405,"06/04/2020"
"47",48,54,0.86459447267969,0.0177947668982344,0.831943128951118,0.8365927580835,0.89465757401652,0.864015220918091,0.89465757401652,0.89465757401652,0.901249598486335,"07/04/2020"
"48",49,55,0.852533978273308,0.0249855673500719,0.816490793628558,0.82103825839301,0.89680577839799,0.849028223350871,0.89680577839799,0.89680577839799,0.920506857833416,"08/04/2020"
"49",50,56,0.802253415694898,0.0299662570062147,0.761248008210554,0.765989043541949,0.862563005799384,0.796302571151271,0.862563005799384,0.862563005799384,0.884964154368855,"09/04/2020"
