"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"1",2,8,1.12183769129314,1.14277747024782,0.0276404436282456,0.0562869843834541,3.39039950503605,0.768072585458008,3.39039950503605,3.39039950503605,4.20383608329111,"20/02/2020"
"2",3,9,1.07907737364832,1.11765291820257,0.0266633934506839,0.0541990044554002,3.25162147015611,0.737307405513314,3.25162147015611,3.25162147015611,4.04093519785186,"21/02/2020"
"3",4,10,1.08563973064443,1.14586950193172,0.0266381166487557,0.0539233048376572,3.28089186983971,0.736539878030541,3.28089186983971,3.28089186983971,4.09637063032485,"22/02/2020"
"4",5,11,1.15905137592257,1.25733733750129,0.0279401241820408,0.056563472948688,3.53695098820611,0.7727975214651,3.53695098820611,3.53695098820611,4.46382000891089,"23/02/2020"
"5",6,12,6.52024799798708,3.77541943483227,1.8601079380791,2.26962679390094,13.3568568109714,5.72685863983279,13.3568568109714,13.3568568109714,15.9681032299069,"24/02/2020"
"6",7,13,6.30580635807532,3.21696491652881,1.72638985450354,2.17692067001257,12.244354116715,5.75842434363308,12.244354116715,12.244354116715,14.0070495686689,"25/02/2020"
"7",8,14,5.74213202861967,3.33626263812225,1.33553868345671,1.7180803109804,11.5451319972031,5.16383756082905,11.5451319972031,11.5451319972031,13.3881791439701,"26/02/2020"
"8",9,15,4.87815342190244,3.16087067832111,1.0249929447083,1.29684392058681,10.7446326192707,4.17951317504656,10.7446326192707,10.7446326192707,12.6801799954065,"27/02/2020"
"9",10,16,6.26000240998747,4.65233822837488,1.63487794899293,1.95399106846806,14.0784777352018,5.08701869558968,14.0784777352018,14.0784777352018,17.4913190670642,"28/02/2020"
"10",11,17,5.80483831202476,4.6114397479667,1.67474727111947,1.98504587301387,12.3818460130383,4.73323950340306,12.3818460130383,12.3818460130383,16.2520433571054,"29/02/2020"
"11",12,18,6.12171615010767,4.03408296211474,2.11943213537405,2.47318969675313,11.4533200305717,5.41057319341931,11.4533200305717,11.4533200305717,13.5805335572918,"01/03/2020"
"12",13,19,7.05958951971583,3.00827488226892,2.61377449991941,3.08439171173888,12.2270412310236,6.64831394067694,12.2270412310236,12.2270412310236,13.6053605229591,"02/03/2020"
"13",14,20,6.07578196215647,2.44251656755481,2.0450072042232,2.47303479704321,10.4286037380309,5.84606153429781,10.4286037380309,10.4286037380309,11.3607663249075,"03/03/2020"
"14",15,21,6.22918253541887,2.56430740439268,2.13754650319457,2.50767045522806,10.7698129496643,5.96283382009068,10.7698129496643,10.7698129496643,11.6387862523423,"04/03/2020"
"15",16,22,8.49687956484999,3.52235639330928,3.02862408105111,3.53419782202299,14.8416408146179,8.02331723783614,14.8416408146179,14.8416408146179,16.0302417417717,"05/03/2020"
"16",17,23,8.30759278960495,3.59291297112037,2.61175897907922,3.20624967657762,14.6714131279658,7.84095240283008,14.6714131279658,14.6714131279658,16.0659369690366,"06/03/2020"
"17",18,24,8.45239606352979,3.80018454892424,2.5522607714128,3.09007647893322,15.1137449165484,7.97293730264643,15.1137449165484,15.1137449165484,16.571543060772,"07/03/2020"
"18",19,25,7.31352299133809,3.38742843945599,2.19527744018689,2.64536695023996,13.2921849322808,6.82025589799132,13.2921849322808,13.2921849322808,14.5885328185408,"08/03/2020"
"19",20,26,6.46480703849672,3.00433535695241,2.0790684066239,2.44528151523458,11.853736890077,5.9511388475191,11.853736890077,11.853736890077,13.0997949452962,"09/03/2020"
"20",21,27,5.28608651914627,2.37869051111689,1.86205929698517,2.15907358087568,9.59141452111214,4.85113439800998,9.59141452111214,9.59141452111214,10.7055026132906,"10/03/2020"
"21",22,28,4.26438204616311,1.77734324711387,1.68829241389166,1.92115312369658,7.42806185429808,3.95245171447464,7.42806185429808,7.42806185429808,8.26795949688752,"11/03/2020"
"22",23,29,3.57262357678051,1.31683489667941,1.6084008784221,1.79564858619019,5.88137407064708,3.36276848029696,5.88137407064708,5.88137407064708,6.43626152226792,"12/03/2020"
"23",24,30,3.45609148379693,1.09522252941484,1.74319090830573,1.91862690094456,5.36365706247618,3.30683995966851,5.36365706247618,5.36365706247618,5.75917080996924,"13/03/2020"
"24",25,31,3.09462012045738,0.861276246274623,1.64087498325474,1.81788292121333,4.56489622692419,3.00972687065906,4.56489622692419,4.56489622692419,4.82216012710745,"14/03/2020"
"25",26,32,4.26010164568589,1.06948315259326,2.35975802373416,2.6006182767085,6.03746564059341,4.19041727267312,6.03746564059341,6.03746564059341,6.29682507257556,"15/03/2020"
"26",27,33,4.11516102728129,1.04492037448023,2.02814756163134,2.37307653057228,5.76050025381146,4.1110628009416,5.76050025381146,5.76050025381146,5.96307667744124,"16/03/2020"
"27",28,34,3.60057245297813,0.982131195219152,1.67705067682986,1.93598171478377,5.11239722186024,3.62235224482983,5.11239722186024,5.11239722186024,5.28016530100529,"17/03/2020"
"28",29,35,3.7000058482165,1.05520168483209,1.79105717985917,2.01124736314029,5.37162861102683,3.67341195028696,5.37162861102683,5.37162861102683,5.57056720843554,"18/03/2020"
"29",30,36,4.04929040925121,1.17149317804614,2.00871757212073,2.25728034064258,5.96785765798187,3.9590001026661,5.96785765798187,5.96785765798187,6.26220926838269,"19/03/2020"
"30",31,37,3.95512632675127,1.15161372446705,1.91352090950052,2.18659180280733,5.83748557685069,3.8630871887484,5.83748557685069,5.83748557685069,6.20075876986967,"20/03/2020"
"31",32,38,3.79824650232164,1.10118278921816,1.82703718069138,2.08017289720316,5.57329265421095,3.72579885912924,5.57329265421095,5.57329265421095,5.90703406637572,"21/03/2020"
"32",33,39,3.54536888695751,1.01399406840088,1.73343144876074,1.95929881626258,5.17153906929268,3.48592652312732,5.17153906929268,5.17153906929268,5.44586102214432,"22/03/2020"
"33",34,40,3.11043610278477,0.869400374635409,1.57200667306255,1.76117899253414,4.52043671465707,3.05209405629706,4.52043671465707,4.52043671465707,4.74780683453937,"23/03/2020"
"34",35,41,2.96375394758946,0.792095609612666,1.59546702855615,1.75593328171711,4.26170493204043,2.89734637845454,4.26170493204043,4.26170493204043,4.48431261102642,"24/03/2020"
