,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.7814744179098194,0.004792757407789999,0.29089201041068263,2.2144886850828254,2.6177935937167964,2.7754955856065227,2.9302604489819792,3.4274754708230275,3683.7715719965036,1.0004447066932256
mu[2],2.941363748081416,0.005361886215454773,0.2923440366437239,2.4949405847598327,2.763564758073642,2.888472298339102,3.070898036204259,3.637860844234887,2972.715116200251,0.9988276555173727
mu[3],2.940446176494402,0.005591381601461954,0.306478607575595,2.4469554118184575,2.756133094662471,2.882002020003087,3.0904386782480193,3.691144160977321,3004.4298318613583,0.9999294535260614
mu[4],2.928957548123571,0.0037224860139601786,0.20124136410348362,2.60153099361941,2.794243129128648,2.902519803446659,3.0371217834796265,3.4125022910089475,2922.593106558154,1.0008106860171844
mu[5],2.9497723379828975,0.004908694979085262,0.26988169674597884,2.5180476543264394,2.7763649300991426,2.904193075903624,3.0920839804428306,3.5994823162406018,3022.83729009548,0.9990871432270403
mu[6],3.1588342411042585,0.005636168097102756,0.2159024254518305,2.7966674843725166,3.006178003634058,3.140855967099221,3.285320302075288,3.6443635301686688,1467.3954489157077,1.0029727410961955
mu[7],2.7714241653588343,0.005174749026915778,0.30265839832254354,2.145267638272794,2.613295227524239,2.774067752429609,2.926161286568181,3.4089057523085784,3420.7936377695905,1.0017926973982694
mu[8],2.908383328765002,0.004846412230079444,0.2895658572700005,2.414516375565214,2.7334509293862603,2.8640600028166316,3.0470908868097375,3.5947665176499575,3569.88315710186,0.9997052391498328
mu[9],2.8391973742412984,0.0042171949073620376,0.24224160996903368,2.3849574473407604,2.6987637003265412,2.816772239333427,2.954733652027397,3.3873496861617824,3299.5152625732135,0.9993999359882303
mu[10],2.848100081952363,0.0036394479137999624,0.2137922879506379,2.4883705849158675,2.7150894273686523,2.8231915322397465,2.9599141666824966,3.3318182619995724,3450.7464778271287,0.999686144878109
alpha[1],0.0917837985993079,0.0020894798643892494,0.12312664463510319,7.667491053858772e-05,0.00959666334063692,0.04383806001709774,0.12394016909441719,0.4298077621323185,3472.383695704888,1.0002393893209935
alpha[2],2.928968740548412,0.01061740088138916,0.6541472908221118,1.6112345600699491,2.5028065975519485,2.952161854909284,3.350552377807982,4.1776650883572,3795.899132493562,1.0000944578263182
alpha[3],0.07021327159303718,0.0018103935423075359,0.0963093997967829,8.951102099375032e-05,0.0072643487459236895,0.031804545380088284,0.09360064211495103,0.34058529701400564,2830.032148466333,1.001471853314979
alpha[4],0.09667667040065027,0.002399184529830147,0.13460985595156857,7.88604351704649e-05,0.009787242628200098,0.04475330760737033,0.1313603384732061,0.4680275495927695,3147.93976920908,1.0001235431208781
alpha[5],0.17665650450351172,0.004179597288980865,0.2459946099323174,0.00012618170333852948,0.017479309026176268,0.0831630481177665,0.2390491326127515,0.8831280756063524,3464.035266890204,0.9998375341238698
kappa,0.2983328287315193,0.0047496489927176064,0.16807401130822106,0.03494431211008249,0.1838258906762076,0.2728110799088156,0.3848306724780026,0.7112333908339579,1252.2126853312575,1.0022028537381134
y[1],49.232732192880164,0.42110300872455103,26.26074448319862,15.988345852051829,32.545302410187205,43.36889941707072,58.72723049230328,117.72633527517601,3888.9949503873563,1.0010001449687433
y[2],68.48746471591606,0.506559499807369,31.584876125538504,20.195380402363828,47.09457117082755,64.3426059731494,84.14141578842481,143.19324923143378,3887.7419179424332,0.9992064396149196
y[3],81.86158523839532,0.5803146191631888,33.52675900620343,27.837490394720916,59.80456194973298,77.91274019516966,98.78117800524426,163.18269717383097,3337.767815810044,0.998739841382769
y[4],50.000505640274454,0.3065664425520607,18.413087438389432,19.75008372199177,36.78964185066782,48.45217385488785,60.33189195355803,92.09477913415827,3607.4805849911377,1.0013707608877926
y[5],26.330396445942128,0.22871507572877597,13.54628548926259,7.354329021469892,16.93498883637065,24.292122810109582,32.75385902083363,58.70375635748229,3507.9295618673204,0.9995572578811157
y[6],36.85896241387094,0.5789100635022146,17.02602937910837,11.698186843225301,24.42641842209875,33.50960454498829,46.168825164552075,78.49955450095719,864.9769977955249,1.009161778639142
y[7],30.26659594209644,0.28282840628732714,17.23012890843297,9.650868651802096,19.022016691196008,26.742187418470394,37.0686278268856,72.93542217288356,3711.342207474033,1.0005000530885018
y[8],29.558306287213643,0.2425136612330155,15.278866654148509,8.565432976172685,19.758446091583416,27.01613173240584,35.82115734956072,66.18526252796921,3969.262899048472,0.9998937014197329
