,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.959255442169266,0.005969713110471417,0.32540467818287716,2.4379132823463165,2.7478520408552267,2.909613978671355,3.119907412378753,3.7357417394573917,2971.260048822652,1.0013452317220866
mu[2],2.945048623390033,0.005713977655899865,0.3459622907741384,2.3783573301702026,2.736861111008761,2.890727168663855,3.1169896206209358,3.8182622851299195,3665.898638911084,1.002640087861266
mu[3],2.95421479214907,0.004407595648865164,0.22816133213028225,2.582937057333363,2.7960133322739096,2.924552812307594,3.0829350378884337,3.4805595440729715,2679.6655707717996,1.0009483356955433
mu[4],2.9796752037967327,0.005602729982643796,0.3174610589273352,2.4778989755635736,2.7723168882173175,2.929764928856384,3.150479513980886,3.710887454721358,3210.565509586245,0.9994900573128435
mu[5],3.162867815607511,0.004882018256096935,0.21205062760641513,2.803192324095581,3.004832843424622,3.147085049204964,3.297872865686802,3.6206275053410906,1886.6021548125136,1.0031878922093733
mu[6],2.7412530432449254,0.0055410278571842555,0.34560687190112366,2.0298679058530493,2.542419810990923,2.753349264419735,2.9292693585316707,3.4652174341721813,3890.3087620310052,0.9998718261107631
mu[7],3.2253276075856583,0.006863535160178048,0.2986873279234339,2.767776364387122,3.0089271429121034,3.192207269000434,3.39850592890353,3.890775840102431,1893.8163851576542,1.0027780171966088
mu[8],2.921731222155092,0.005351078064134452,0.3174402168476947,2.3798430063763196,2.7217801181326644,2.8787537372085668,3.086179559993357,3.6865607832159437,3519.1787037669897,1.0008186063194784
mu[9],2.850586855201542,0.004618613582067879,0.2784293818002338,2.356990451542932,2.678375695755472,2.823019586939366,2.997678220678562,3.4820050980197816,3634.1836444184896,0.9999507130428988
mu[10],2.7519189135278674,0.004049299101699335,0.23562486445937622,2.3262244129267486,2.6027085456578822,2.741761181430708,2.8760718051247656,3.2776872164131263,3385.965441197898,0.9995505267943342
alpha[1],0.09421151866284128,0.002152416684977881,0.1271274065862857,7.562885391688328e-05,0.009057609184335921,0.044175186797077895,0.13022593723241332,0.44832486623127055,3488.3951579224577,0.9997845081026255
alpha[2],2.8175235978908693,0.014260905485162732,0.7797535388243957,1.1297295991295437,2.348601455578427,2.864026748140879,3.355151404706281,4.226190819905469,2989.6510841649633,1.000225121786177
alpha[3],0.07974363570335734,0.0018053187431601669,0.10782379791749629,8.698649072053416e-05,0.008178206171208803,0.037883903683084315,0.10807692826578241,0.3879313635270597,3567.1507883448216,0.9998558872219431
alpha[4],0.11344156183654286,0.0025239234608846134,0.152029289096792,0.00010751426430363448,0.011361084884360443,0.05155145573719061,0.15409623469192382,0.5456970111684278,3628.291473646638,1.0000448191888964
alpha[5],0.20271664315503896,0.004409826013507137,0.2687092600713327,0.0002564846696518887,0.02139991471593132,0.09585246033696804,0.2790467369850452,0.9702932405091105,3712.9778295136216,1.0012188763650935
kappa,0.3540626926837572,0.004349425723522011,0.1766834707575572,0.06479818323457559,0.2316825539562628,0.3273208320018076,0.45472665815083346,0.7582664804654256,1650.167412867894,1.0040980045209227
y[1],39.74847160568968,0.3353479125735317,20.508350235426366,11.817212532312983,25.87098059486062,36.28486897833119,48.939299554284034,89.79154502774998,3739.9882387501075,1.0004048423770657
y[2],45.136299333174875,0.33056372175656445,20.646608030596905,12.594577095638567,31.19767174764911,42.46501679350334,55.42975387327638,92.72266368354465,3901.099674258955,1.001793951682878
y[3],27.585996101838596,0.19779894657962646,11.236356551444599,10.543985364822174,19.766528951466,26.157744750139198,33.81611174932811,54.16222562360307,3227.030535027079,1.001219366112602
y[4],15.014316652286052,0.1371721791768973,8.600537158427548,3.7725334603777236,9.014676178314403,13.363731443418317,18.983182431824233,36.65271460812987,3931.1451258505504,0.9986867463590304
y[5],20.30668134682317,0.22982378927686992,9.26188811608975,7.158498646340792,13.417821805973018,18.540500396825,25.651126966853383,42.17727832457304,1624.086285432313,1.0049718010008044
y[6],18.551331880234017,0.20151475205497887,11.890179903556282,5.138047477508091,10.879746379616455,15.468986214219449,22.694703157651908,50.91023878805472,3481.474049983867,0.9991103750836886
y[7],57.53521198457643,0.697962222844458,28.415326858365834,17.58075603150398,37.219617616395965,51.91495116176169,72.67138991240178,127.5813115054548,1657.4539763674802,1.0036008782556738
y[8],16.62514229023995,0.1452086254622687,9.098439727778395,4.324850290276876,10.488908317850044,14.932656756059469,20.53991819114102,39.64634402895747,3925.988436091592,0.9996558509501077
y[9],14.818924657502055,0.13537949821969647,8.48495444551759,4.193856256913518,9.258634688771732,13.043956642133878,18.12819446010118,36.31233561928327,3928.196730761987,0.9999080040844
y[10],49.91335479564805,0.3628083827774889,22.212087437622454,18.829935121982885,35.03448808505415,45.7088364971745,60.22773269372132,104.85900086755926,3748.2117936423233,0.9999696788012997
phi_mu,3.7129054140865465,0.031249328887362593,1.8545742826243217,0.330774383819612,2.2603242457022317,3.8794549899723494,5.076423274506943,7.09833447642413,3522.1437469530943,0.999720767280562
phi_tau,5.442616175459377,0.1778827640967747,11.139089873378731,0.17731535572323123,1.7164406599567252,3.4889039128620247,6.19415154165304,21.654300396890836,3921.3145190653477,0.9995856834073861
phi_eta,0.6733453121974798,0.00816867170283034,0.5235529353534903,0.02952931799250303,0.2568239373294695,0.5530211043988662,0.9665373958758344,1.973401267884399,4107.885342776276,0.9991585049291093
tau,33.52801463978305,0.2055286515737667,12.452552443421121,15.207268763417243,24.692733513528864,31.414635689823,40.22351780034089,62.78475129639932,3670.8954274240577,0.9998853777332536
convolution,143893.56523149824,45951.86088414831,2799858.3012770177,115.08091684239614,1203.8058652023237,4204.600967282417,16780.680978462147,504959.1316248396,3712.4951784753525,1.0000808520233126
"prediction[1,1]",39.74847160568968,0.3353479125735317,20.508350235426366,11.817212532312983,25.87098059486062,36.28486897833119,48.939299554284034,89.79154502774998,3739.9882387501075,1.0004048423770657
"prediction[2,1]",39.74847160568968,0.3353479125735317,20.508350235426366,11.817212532312983,25.87098059486062,36.28486897833119,48.939299554284034,89.79154502774998,3739.9882387501075,1.0004048423770657
"prediction[3,1]",39.74847160568968,0.3353479125735317,20.508350235426366,11.817212532312983,25.87098059486062,36.28486897833119,48.939299554284034,89.79154502774998,3739.9882387501075,1.0004048423770657
"prediction[4,1]",39.74847160568968,0.3353479125735317,20.508350235426366,11.817212532312983,25.87098059486062,36.28486897833119,48.939299554284034,89.79154502774998,3739.9882387501075,1.0004048423770657
"prediction[5,1]",39.74847160568968,0.3353479125735317,20.508350235426366,11.817212532312983,25.87098059486062,36.28486897833119,48.939299554284034,89.79154502774998,3739.9882387501075,1.0004048423770657
"prediction[6,1]",39.74847160568968,0.3353479125735317,20.508350235426366,11.817212532312983,25.87098059486062,36.28486897833119,48.939299554284034,89.79154502774998,3739.9882387501075,1.0004048423770657
"prediction[7,1]",63.2070089485689,0.43810435422361427,26.942582919932367,23.33265730409134,44.526419271039444,59.63163602529556,76.62322313660448,127.53567679891955,3782.0156111359865,1.0001224579700456
"prediction[8,1]",80.41279461838668,0.5406047045400239,33.206797570803516,30.605153943884112,57.49896224578399,75.98091662984223,97.02036791632939,159.4499912448527,3773.065528728212,1.000121941445881
"prediction[9,1]",79.74305823058705,0.5425708943639016,33.53412278994781,30.48016425583085,56.51413982782109,74.77045347583567,96.10026615983547,161.48575669615036,3819.9784675937462,0.9999427508397045
"prediction[10,1]",102.256780120324,0.6547444936361736,40.46279873151596,41.17592364112228,74.08738295087186,96.44051365065141,122.96105025253263,199.2444013585461,3819.162418168926,0.9999492560109945
"prediction[11,1]",140.54939008735448,0.8331874867376958,51.401034243154015,59.692472443533106,104.80918803100448,134.26984718291283,167.96268262916755,260.76456083479854,3805.9075748372056,1.0000096500007785
"prediction[12,1]",170.6506368979233,0.9736896819788688,60.18713829707283,75.56426695801372,128.62662544180384,163.18394566356125,202.54274870620856,313.3993923478345,3820.9051179763333,0.9998549235126417
"prediction[13,1]",236.58710578171355,1.2383446446025685,76.4254214187215,113.26328798124403,183.4463315312926,227.98178835844877,277.6009547051799,413.19095463264995,3808.839072703365,0.9998630131061185
