,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.801994643409624,0.005058254676783813,0.3030282885422547,2.255979979964599,2.604488080543801,2.7891645641973835,2.9713301029448864,3.4831776741506495,3588.929791528568,1.000761233058563
mu[2],3.300114008403452,0.005958877138596175,0.3385070158283791,2.7591370524880148,3.0541692312241464,3.2584884842507362,3.4953957311649404,4.057679674261454,3227.0558829380593,0.9994336127198525
mu[3],2.8638502136884285,0.004345558621414106,0.26929424177030076,2.3711357646797317,2.68300433067197,2.8411463939126276,3.0300438113524453,3.4580412393652447,3840.2801584882873,0.9996818485296725
mu[4],3.1766396157627463,0.003480823225880488,0.20843483175679603,2.815868124843953,3.0315615916467165,3.1562352873678594,3.3010046153852617,3.6559993637700603,3585.7223310420477,1.0004143527292364
mu[5],2.9665588050016534,0.003855105660510742,0.22900753994787468,2.562107186155108,2.805948622020586,2.9471973625120933,3.1054135821812157,3.4778146488114654,3528.799568222627,1.000395096971771
mu[6],3.0470175750547512,0.002579291476121938,0.148192333207203,2.776504603269262,2.9415397363716664,3.0401294807453736,3.143145645594414,3.362370810611222,3301.0387757038793,0.9996082780038836
mu[7],2.7095998499888574,0.004931858136604477,0.30559079166354725,2.1117905046575713,2.5097115116317354,2.707783178237989,2.902049351046414,3.3208042388767445,3839.3647709017846,0.9999675221354426
mu[8],3.1845610433535247,0.0035799631529876536,0.21063199725169396,2.81732488255754,3.0415079444430884,3.1704319086321577,3.3114621702797367,3.641709225992298,3461.7171395794744,1.0005802108261506
mu[9],2.93338208750007,0.003581341566559761,0.22242986292891886,2.5392695355520685,2.779152570488047,2.914014217017601,3.0738944466448412,3.416406511615902,3857.400227247407,0.9991006257781601
mu[10],2.483379931509599,0.0032172226724357495,0.19866937770081522,2.11195067095987,2.345273976237573,2.484075413297952,2.609920283892647,2.8813150831369905,3813.2881306242007,1.001459611051192
mu[11],2.7432707378333587,0.0029910246014752274,0.18068459085305624,2.427488729353746,2.619179312104665,2.7286371402819247,2.849797232571804,3.1473844358998475,3649.23862477723,0.9994571651265448
