,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],4.215519905220928,0.013524623305312651,0.729413026937622,3.0002819016937052,3.6961535118173425,4.151697254424429,4.657848733046226,5.8505891807923955,2908.68489181771,1.0023904537671435
mu[2],3.4417399129396857,0.011989107545493663,0.7092364952741438,2.2629429853961627,2.9343391272229526,3.3707975638827925,3.8708227480538357,5.0420291953641385,3499.519664138319,0.9998064655937874
mu[3],4.0122761103077575,0.007056126767974065,0.39686912887461706,3.2751327130975976,3.7305851874525233,3.996588946790393,4.274345828067291,4.824374712070176,3163.4566434631856,1.001432777677085
mu[4],4.220375807214801,0.01107931994369994,0.6644708869904986,3.102070598164258,3.751676859776926,4.147131690658003,4.640939730714457,5.692524090619926,3596.8779985171095,0.9998709031577486
mu[5],3.6450497123045724,0.006329300835922762,0.3541639249135686,3.025302165701068,3.393931414099534,3.6221199082545157,3.870290047463347,4.405879521726468,3131.101649075806,1.0001531436268385
mu[6],3.206752075854531,0.013022593347709367,0.7906064142340706,1.8442262683067119,2.6580434863703566,3.1339545931650177,3.712580797983863,4.903630182914748,3685.7485941697737,1.000268051734516
mu[7],4.575080385660967,0.009070799956837646,0.5047470648719509,3.6492695183159727,4.220218664082826,4.540343687108094,4.921704372617082,5.608032625619067,3096.395486391416,0.9996344064126985
mu[8],3.7358684587770323,0.01151082839866607,0.6878272941614187,2.5723930002589643,3.2478862737782093,3.6793678303550275,4.146227172462852,5.2594427639671,3570.6365940339188,1.000427579343698
mu[9],3.8039123402024893,0.010072945988315707,0.5902805519256318,2.8147702928225353,3.3803393092731318,3.756373444732292,4.161547792794638,5.084751056929255,3434.028845508293,1.0000720652845203
mu[10],3.9075205783928713,0.0074210660222661755,0.44339583434189916,3.141845828767617,3.5959385127555787,3.880878533482826,4.1939431935001465,4.840124758071749,3569.8554130282814,1.000058330346741
alpha[1],0.38536890160354786,0.006290722427376521,0.3570171857848861,0.0009789690267707767,0.07915860677864503,0.2892436579892691,0.6071687460741205,1.242384149897062,3220.899686561725,0.9999579274872645
alpha[2],0.08791519536524414,0.0019337188911987078,0.12477819312081137,6.167103476360943e-05,0.00898504457132807,0.04234752577311269,0.11348945890554435,0.45464004677399705,4163.808091555381,0.9995198286056712
alpha[3],0.29663515263755214,0.004916802256977284,0.31224384924634524,0.0003460335083805569,0.04524010618511118,0.1868437403009872,0.4657205249254047,1.0865227721251343,4032.945004588281,1.0007286113271787
alpha[4],0.4573669812031072,0.007631041800492121,0.4652867672877752,0.0009365181769153147,0.07977512204425474,0.3029475544211097,0.7048876311433664,1.638313001901985,3717.6948330892724,0.9991802539217831
alpha[5],0.35774398538519947,0.008005212860941377,0.4986229784036346,0.0003412386281466639,0.03811462022675577,0.16307663037527664,0.4853068706765251,1.747346092003184,3879.705926335896,0.9992545663633449
kappa,1.0905958527469644,0.0051236228744709605,0.28130874785181564,0.5917954179708494,0.8959091080688836,1.0734085613228754,1.2704917184046107,1.6703023502958336,3014.478310728128,1.0016205581989344
y[1],38.33308392683279,0.4838211606632291,27.64544828696397,6.329241481985548,18.606435585618314,30.929312972861382,49.63204316039325,114.67582053969753,3264.95767252692,1.0008406542532975
y[2],31.976204391490718,0.43677911119403634,25.890243587017608,4.849987765154752,14.760052253478811,25.325785216718728,41.37749251848079,95.7190295295324,3513.56953280241,1.0010220709478592
y[3],14.91601143401445,0.16079256406476627,9.052687240070027,4.042871153304218,8.693060764373712,12.776068158757251,18.892223594579647,38.08131100673744,3169.736136946849,1.0012940139768847
y[4],13.455828814318679,0.18110400594829382,11.017934401342485,1.866318168335178,5.885141731092073,10.406159241258472,17.633488195678435,42.91193780790806,3701.2144666942145,0.9996124587833113
y[5],22.61536767971046,0.22398453001284685,12.722158920358211,6.20853665649266,13.515996097084011,19.927067008615687,28.577939682546376,54.018869385938956,3226.157642763656,1.000333539182984
y[6],29.58474046755756,0.3948431773186315,23.864499145644846,4.609962084199743,13.920130742357474,23.21133715200763,37.86320488609336,93.24958819576959,3653.04794387456,1.0010528339580609
y[7],30.917985748803396,0.3741900324574471,21.166812586334313,7.274563637669282,16.516577867397796,26.055038670386658,38.93902352378471,87.05588287555685,3199.8270068604756,1.0003475465304563
y[8],16.60009074251038,0.2426902988470588,14.958661126196036,2.069863357844881,6.84964233492421,12.421683594761863,21.31513698511208,55.619786558102376,3799.0990326490837,0.9999776048448643
y[9],14.492089573702,0.1948473318438991,11.632641796254097,2.1947008420837513,6.689194399082682,11.4700140854917,18.852107985829967,44.317160710431295,3564.2469275081894,0.9998428606817791
y[10],24.53808315903278,0.2544682966113707,15.408842635835066,5.932069713823635,13.65552882768933,20.890793476452956,31.664422299667443,64.4356120499251,3666.6771697036793,0.999691535783589
phi_mu,3.4065331142728312,0.02634241392970292,1.6673905836019647,0.2901410437817957,2.1213215556535614,3.5645040753264707,4.630437601569566,6.464252574401851,4006.485263048241,1.0001727801545186
phi_tau,5.312809686319512,0.3419903903467797,21.488937667881785,0.14876532910999873,1.4920067543504345,3.1203404661389174,5.912587472628902,19.396536769094496,3948.226748700394,1.0004642688170349
phi_eta,0.6475867503854924,0.008269469877914788,0.5122915919869232,0.027914733451221828,0.24875729295994897,0.5222639035349237,0.9292829523131565,1.8917389580043553,3837.7715313188764,1.0007769021643855
tau,26.70933500079532,0.24453484432784633,13.734047381420403,8.957704990393449,17.324941642375205,23.964108830097405,32.89731644258583,62.69132607035818,3154.3913978343285,1.001925665012062
convolution,11468165.429304712,556359.0892098128,34909433.58935975,97783.1036892141,866597.6719933762,2772958.5473497324,9222155.091596123,83738630.8130778,3937.0889766354167,0.999638868672907
"prediction[1,1]",38.33308392683279,0.4838211606632291,27.64544828696397,6.329241481985548,18.606435585618314,30.929312972861382,49.63204316039325,114.67582053969753,3264.95767252692,1.0008406542532975
"prediction[2,1]",38.33308392683279,0.4838211606632291,27.64544828696397,6.329241481985548,18.606435585618314,30.929312972861382,49.63204316039325,114.67582053969753,3264.95767252692,1.0008406542532975
"prediction[3,1]",38.33308392683279,0.4838211606632291,27.64544828696397,6.329241481985548,18.606435585618314,30.929312972861382,49.63204316039325,114.67582053969753,3264.95767252692,1.0008406542532975
"prediction[4,1]",38.33308392683279,0.4838211606632291,27.64544828696397,6.329241481985548,18.606435585618314,30.929312972861382,49.63204316039325,114.67582053969753,3264.95767252692,1.0008406542532975
"prediction[5,1]",38.33308392683279,0.4838211606632291,27.64544828696397,6.329241481985548,18.606435585618314,30.929312972861382,49.63204316039325,114.67582053969753,3264.95767252692,1.0008406542532975
"prediction[6,1]",38.33308392683279,0.4838211606632291,27.64544828696397,6.329241481985548,18.606435585618314,30.929312972861382,49.63204316039325,114.67582053969753,3264.95767252692,1.0008406542532975
"prediction[7,1]",70.09877194634811,0.687389477631198,39.38054060715462,17.33104808260616,41.46686802862769,61.66556171825594,89.30116392401828,172.7496167582753,3282.1436722209023,1.0007374128520634
"prediction[8,1]",86.78419153985628,0.8330274056511877,47.880691189039055,22.242939313331426,52.03884967035748,76.76222329237171,110.73775198547543,210.27408402401448,3303.7124755777672,1.0006955796862955
"prediction[9,1]",102.66893437923821,0.9497630381315235,54.418929924935455,27.87619992068695,63.016225134844845,91.02723981243588,129.7890219632098,239.47479076274584,3282.9892986826703,1.0007653553240747
