,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.883007623110617,0.0058390148483063965,0.34261638600870487,2.2657033833016316,2.6424614626684573,2.857363417491875,3.0953663414562227,3.6236985060241924,3443.000614381921,1.001253627300291
mu[2],3.3348522287822453,0.0032671404824328315,0.18125141753577564,3.0054258808693928,3.209312960364233,3.326042287790993,3.4472410326095084,3.7226941783258827,3077.7065282846393,1.0020608088692882
mu[3],3.378119162632603,0.00521961471974317,0.29433923190431543,2.8626104794667775,3.1730800858361308,3.363628449750088,3.5540084336388236,4.020577063593168,3179.9435466015393,1.000191861648748
mu[4],3.7001522580507102,0.004497341865078614,0.2583485920500384,3.240351516425644,3.517853273588817,3.6844776709862015,3.8620197050906633,4.254405278320613,3299.897078675184,1.0012543677631898
mu[5],3.1042853317407224,0.004180242893966819,0.234757306918639,2.705064275764189,2.938929064229956,3.0807795321165763,3.2421199092152655,3.6261215680819907,3153.807654592629,1.0010185536963063
mu[6],3.901393975124768,0.004331172412446126,0.2486669761355856,3.467677019203429,3.730459456640613,3.88305558918712,4.051368063390904,4.454777504065875,3296.2890070705566,1.000955683383462
mu[7],2.860431603654397,0.007491240028990517,0.43917995125874465,2.0644567313717364,2.5655086073194706,2.830232652993856,3.1286085676549806,3.8072707612802303,3436.9846066870814,1.0029395712342624
mu[8],4.368296128682424,0.008980077223215295,0.5019069735796794,3.5416187091831928,4.0228726456761255,4.316150292855955,4.65892047035579,5.521461218915208,3123.8222725798755,1.0034546981322314
mu[9],3.2036493119094573,0.007896420748322074,0.4713844037224792,2.396499065466954,2.871339965380524,3.1699547314216137,3.4895924192044347,4.235603455746572,3563.6074375275507,1.0010128077407454
mu[10],2.9225178714269457,0.00410894811535812,0.23989651874895374,2.4925207271684986,2.7571961910635685,2.9122743080624867,3.075104201978707,3.4290838200379126,3408.682702753397,1.0021615609182792
mu[11],2.553011740475854,0.003842287000038245,0.23271181928336884,2.1560551036873274,2.3877389667654887,2.5348907808464163,2.691433613713051,3.070510780422353,3668.2360949150952,0.999796018469752
alpha[1],0.0669538719909279,0.001427235608263836,0.088559494769284,7.261590492993513e-05,0.007281267729791726,0.03178470986795286,0.0921116486045937,0.31813697697998033,3850.1612222834856,1.0022473547522694
alpha[2],3.3428201559639006,0.007931451763208244,0.4585349873138674,2.4168753870139223,3.037568253788084,3.3478852763844453,3.65255440020868,4.237379725088054,3342.2550126306783,1.000644151504986
alpha[3],0.08380075972929298,0.0018594769547708057,0.1077215972890372,8.090772984941494e-05,0.009173785649919849,0.04145975255485135,0.11736600088573279,0.38379150876613005,3356.015579461289,1.0002181787998918
alpha[4],0.08537119270253646,0.001912264293882868,0.11721190617097406,0.00013310128687334946,0.009370305149017563,0.04068618541212016,0.11550933485706283,0.4329026931195751,3757.0556309947233,1.0027815186429059
alpha[5],0.19373972546182616,0.004370290277610895,0.25850427822067024,0.000225009182672596,0.02090096801610812,0.09186844040555739,0.2661148157888179,0.928517803791181,3498.76603543314,1.0001512822976975
kappa,0.7512541463128402,0.003499155434969469,0.19876135449375032,0.4411208675518363,0.6065311771797288,0.7243630758453232,0.8687745167948127,1.212303827317956,3226.5427685773284,1.0016751558806245
y[1],72.877255225506,0.5604377384753723,34.19728751388085,24.85281887497242,48.25306813887596,66.92146564278278,90.40377667774379,155.7519548971876,3723.304675092052,0.9995755878097944
y[2],26.832219584936695,0.16184232058261877,9.646897145748028,12.194265645744785,19.981347530100074,25.36602033421575,32.265646025368895,50.22127645631282,3552.966415884342,1.0005995924862425
y[3],16.52454796540024,0.14000480978659793,8.549943047800003,5.215995172884934,10.52681523626509,14.894793677631604,20.500896944385584,38.030989015254136,3729.413443018581,0.9998562692566261
y[4],56.10663371260475,0.4027013243650133,23.968150954196698,21.724292635187595,38.93644507557383,52.2591888090428,68.72617222269648,113.31293950118013,3542.4436187605857,1.0002543879180072
y[5],51.03416841832415,0.3301387626042438,19.94361464873856,21.316499808127567,36.759611774397186,48.1101259802566,61.960610988486636,98.60743860166627,3649.3432141970225,1.0000381590046534
y[6],13.029113998529546,0.08541987136160115,5.238637262775526,5.236999433815212,9.34218438246129,12.201606401742037,15.848003628527625,25.310958478998618,3761.134198191892,1.0012502239153775
y[7],26.908695621167883,0.2870124325342896,17.702876798648653,6.172384037361495,14.837098574214725,22.720075834108098,34.05628092676086,73.29486035321152,3804.400892451343,1.002056041577643
