,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.0937587839520093,0.007574338709784705,0.43804516897776075,2.3485265992995035,2.7913115411488714,3.056148488193547,3.345953662807445,4.084759210528729,3344.632041819747,1.0018902092195503
mu[2],4.117574079302138,0.008994103852602107,0.4964417466529662,3.2938047987357013,3.7607963966778657,4.068857108751697,4.406352966321964,5.242820229988369,3046.63757457517,1.0015017009019689
mu[3],2.7607129769550176,0.005133105054370874,0.3083171065233788,2.2006235454505143,2.5536047432843354,2.745005597296463,2.952054914888072,3.4108443211670707,3607.7375603168734,0.9994426175849322
mu[4],3.6629936966327703,0.004953540485815202,0.27228640830623035,3.188085340274936,3.4732592674924296,3.6392772912446683,3.832296272825345,4.272567283378164,3021.4853490981245,1.001978254773212
mu[5],3.1261274973635644,0.004610978798245149,0.2613544174607287,2.6622903198342422,2.942855686597464,3.1100338349509533,3.293015740995029,3.70776440177582,3212.724161632289,1.0019070343419691
mu[6],3.3533344800139946,0.0031279131919972588,0.18129868088425122,3.0280183511872365,3.226855807228427,3.342278872824778,3.4659549079449925,3.7514978682939746,3359.5406858234564,0.9992259238008393
mu[7],2.568783747246339,0.0056923598816519,0.35767628719079925,1.9172356297527369,2.3177461988119523,2.5522914487899477,2.795655160482314,3.3273280266942615,3948.1677717906005,0.9997522932847486
mu[8],3.55790436945197,0.004377959583431319,0.257637389397659,3.09912671988178,3.3770278880072064,3.5394799563479458,3.7196025981198435,4.1170441592052835,3463.173773254291,1.0011534046624777
mu[9],2.930515665429375,0.004233245645518756,0.24140573173930915,2.4983946207288006,2.7615423305158653,2.9182940606123404,3.075217293024766,3.4424221164876396,3251.982607470806,1.0000410926005139
mu[10],2.410741185167899,0.003858885668335219,0.21694986230655677,2.027254025975385,2.2628852159090433,2.3937333168501507,2.5426162396714664,2.8776820070681133,3160.78484828941,1.0011295644740483
mu[11],3.0862751963239536,0.004340939152634707,0.23297516903215545,2.6904625448850306,2.925200982700497,3.065951536843951,3.2206147303017,3.607073695369148,2880.393845762223,1.0002350869407635
alpha[1],0.06340713753589401,0.001470077426896055,0.0845762731567748,7.349000650418845e-05,0.007021013052284963,0.030849224053906974,0.08844727041887773,0.3024866632499088,3309.913697438995,1.001151663505317
alpha[2],3.3490470952206497,0.008020213167781625,0.4512496325902279,2.4572420199418885,3.0568303588707346,3.3436166277731507,3.6563030949962982,4.233329637207214,3165.6427318211445,0.9998633234382852
alpha[3],0.07408567183364893,0.0015499777824482081,0.09301878251788577,8.223650380450586e-05,0.009171617581401776,0.03749528365849522,0.10495683886537016,0.3303850721612782,3601.557525279319,0.9999871292908507
alpha[4],0.08339797057414407,0.0019375432281713706,0.11325210193156827,7.332209825982362e-05,0.008627554820403407,0.040263591661418636,0.11623999916089646,0.3934902852919922,3416.5654188930807,0.999630021465559
alpha[5],0.15747212438817396,0.0035070762653753593,0.20699422451346844,0.00021145615259876934,0.01784475459632383,0.07627094369348963,0.21655164823339793,0.75219808433367,3483.581983077219,1.0007860840928056
kappa,0.663248365236873,0.003267644483269619,0.18841159584213082,0.3609671124795668,0.526451849802367,0.6389621733047561,0.7758723176318958,1.0914786915509744,3324.647894018048,1.0007829108438926
y[1],30.328831874241754,0.3064087320364651,18.808865282539095,7.132438029720754,17.095799760317934,25.847543132626207,38.66220596924301,79.40479712174695,3768.1043081961247,1.00158295494774
y[2],14.171530930118264,0.1535869576794374,9.186148037161733,3.0881034481607674,7.719548538282863,11.825879714216427,18.198171842683387,37.34611446565977,3577.3234074588813,1.0005699537058026
y[3],73.6342649448335,0.5433303227020314,33.446833703740786,27.307420964541635,49.916887171920806,66.96049816256571,90.27276909404192,155.7545428415161,3789.501953757984,0.9996620346517765
y[4],14.37629976660688,0.10336808244482694,6.217224615447569,5.40627740597483,10.01150598501117,13.311301715692492,17.63982568044632,29.49056555907761,3617.5970920557634,1.0012582806577717
y[5],17.200071333652872,0.13777595474387133,8.482648389104362,5.820308451802424,11.0672746345557,15.561978109594143,21.454847302711425,38.21825030303976,3790.670825289616,1.0007740479592477
y[6],24.16897586291516,0.14458653363134322,8.821511160461322,10.799259284636374,17.955061924452963,22.74029946290021,29.1014604939541,45.33688912324817,3722.462093659142,0.998736865803205
y[7],27.361231268714803,0.27238254075163115,16.927325936578626,7.25779658781255,15.777061697303383,23.344552475105832,34.291968541844795,72.32517535910976,3862.052561175342,0.9999179752706578
y[8],53.67422839527342,0.3736926004175518,22.981417739466654,21.345811146400518,37.33085520227401,50.01886346595616,65.63965933060683,110.04888105214474,3782.0271091080813,1.0007443584586089
y[9],24.4762651934695,0.18658680224484023,11.17008372247145,9.026395937407042,16.583320652662337,22.151862690573328,30.2092074293313,52.49053538004138,3583.8598102293054,0.9992536982096107
y[10],41.67713536916104,0.3024401260476796,18.589114060602487,15.452026476803768,28.630795415927903,38.288227021094684,51.15300304063133,88.58149204286957,3777.796532355149,1.000013381315872
y[11],42.31554008297154,0.2866080002013907,16.73345684214142,17.558138104632256,30.6711202684727,39.77313184886243,51.166367997251996,83.18192406854736,3408.746603070672,1.0002476014776274
phi_mu,3.850834344530659,0.02980901695997611,1.8426845511133285,0.27437357675980956,2.4374986925180337,4.084252784220501,5.3798311395251535,6.735921956221386,3821.2608185810645,0.9999943575895719
phi_tau,5.41714058372036,0.14769372679358822,9.223222420833292,0.1963049187580262,1.7313412084660622,3.4806456668657884,6.430234850301812,22.675731356271903,3899.7903943725023,0.9992695476634053
phi_eta,0.6947832239100812,0.008868885897655233,0.5420613601347258,0.03032909597632817,0.2739479454748814,0.5709757556909304,0.9833869374281556,2.04254618368486,3735.5862304770935,1.0003491359674501
tau,35.59590496800009,0.2172603603998898,13.281632935547053,16.927843929820202,26.247829982791853,33.268156170087806,42.089713040824535,67.74053885848858,3737.162270766428,0.999461393949871
convolution,43956.93677734388,579.4512102073207,36105.86088174517,7540.672571946914,20834.526874899315,34732.16313224426,54914.49108045126,133699.05820741018,3882.591151328524,0.9995203050222039
"prediction[1,1]",30.328831874241754,0.3064087320364651,18.808865282539095,7.132438029720754,17.095799760317934,25.847543132626207,38.66220596924301,79.40479712174695,3768.1043081961247,1.00158295494774
"prediction[2,1]",30.328831874241754,0.3064087320364651,18.808865282539095,7.132438029720754,17.095799760317934,25.847543132626207,38.66220596924301,79.40479712174695,3768.1043081961247,1.00158295494774
"prediction[3,1]",30.328831874241754,0.3064087320364651,18.808865282539095,7.132438029720754,17.095799760317934,25.847543132626207,38.66220596924301,79.40479712174695,3768.1043081961247,1.00158295494774
"prediction[4,1]",30.328831874241754,0.3064087320364651,18.808865282539095,7.132438029720754,17.095799760317934,25.847543132626207,38.66220596924301,79.40479712174695,3768.1043081961247,1.00158295494774
"prediction[5,1]",30.328831874241754,0.3064087320364651,18.808865282539095,7.132438029720754,17.095799760317934,25.847543132626207,38.66220596924301,79.40479712174695,3768.1043081961247,1.00158295494774
"prediction[6,1]",30.328831874241754,0.3064087320364651,18.808865282539095,7.132438029720754,17.095799760317934,25.847543132626207,38.66220596924301,79.40479712174695,3768.1043081961247,1.00158295494774
"prediction[7,1]",62.134970300122646,0.474275765156363,28.991157321833743,20.863505769802842,41.2813565669234,56.83619312743352,77.83188592388233,134.5264942616124,3736.5365827103506,1.001304215340349
"prediction[8,1]",62.38695711152873,0.47547435507345975,29.00855057133442,20.975577969745192,41.52044258128594,56.89038330862731,78.26062377219253,134.83980781785672,3722.184215367303,1.0012182535553993
"prediction[9,1]",91.03672934692621,0.6499897000436662,39.68804499370472,33.10739235273036,62.37257385942857,84.0361027305455,113.00046889514684,188.93036072984745,3728.2623343143673,1.0012120764635373
"prediction[10,1]",106.39490534843166,0.715387063385654,43.60944778479096,41.08053658796709,74.75732812481675,99.14120853217185,130.54092312645258,212.94363517775872,3716.0282758702588,1.0010857606220807
"prediction[11,1]",124.09603444779287,0.7792248410880125,47.396209604127954,51.108998346207244,89.80919470993959,116.9458349139181,151.306938252705,237.83819120197631,3699.65855715086,1.0009810396928172
"prediction[12,1]",161.6606832611509,0.9379242431500158,56.99431048993572,71.36572166170323,120.54981152378855,153.87888039088327,195.17533315236696,295.49346967345826,3692.559354857183,1.0008624918965374
"prediction[13,1]",188.2233448664056,1.0192179506511791,61.77140994318694,88.37220010405512,143.80711720543806,180.5352436742943,224.62124575344788,330.85807507407117,3673.168918253054,1.0007187070214687
"prediction[14,1]",233.16458251200302,1.163761127264037,70.39238372078388,116.7564503182532,182.92912881511361,225.02701708957926,275.3268519248054,392.13444540122276,3658.6734700088823,1.0005682622678238
"prediction[15,1]",261.3806447693604,1.2387959588830184,74.05451413312484,137.6132722168778,209.2490261277216,253.0015927477706,305.9555260474684,429.1744153769971,3573.5800411911523,1.0003374337524966
"prediction[16,1]",518.5032919499101,2.0657711591746435,125.3356907854847,300.69863496696587,429.4327581199633,508.3982446473493,595.6109565472996,786.7509860885186,3681.1634246692147,1.0001799090735533
"prediction[17,1]",456.31074742808505,1.7578854324049717,104.38297310151343,273.98812581272216,383.4849969604535,445.42572817995847,521.0686840651425,688.6553041164194,3525.966573059491,0.9999628542987264
"prediction[18,1]",715.1070229124798,2.299352833378944,138.35403047196226,465.52669321994154,619.8267713951448,704.3447190914285,803.8650275244452,1008.5539402179796,3620.5320290879454,0.9997122409059156
"prediction[19,1]",1144.0783003285435,3.0909599593630235,187.3921667231132,804.9714924154421,1014.7344174117504,1133.1785662427287,1264.1214169711732,1534.831884501046,3675.497292115545,0.9994379085732668
"prediction[20,1]",1884.7947587928427,4.486777297682387,274.5016278060211,1387.5410953772612,1696.010770987456,1868.5310838099788,2060.288066710452,2466.1277978803023,3743.0085646060866,0.9991883755329027
"prediction[21,1]",5381.766713316528,17.713423120625215,1079.448242105106,3587.607216397824,4621.678188146934,5263.554160055193,6018.007778531204,7829.425609698548,3713.630186570277,0.9994427659674442
"prediction[22,1]",1379.7847405646614,2.6819705745561575,158.9201863394328,1096.6385067874849,1268.9354087055574,1370.0372480288875,1478.655869163255,1727.0947866506726,3511.155906283476,0.9993508031359234
"prediction[23,1]",910.168723377133,2.2482795734282734,124.93133136479639,688.678057852798,822.8328925511295,900.6535398307022,987.0058101651332,1185.1749936577066,3087.7498327141957,0.9999155228408045
"prediction[24,1]",2015.7074471830315,4.050306451337005,247.3701360926562,1585.0255710510692,1836.6527857178166,1997.896186315542,2174.2809087059113,2548.4091733744713,3730.085343948023,0.9995470438584767
"prediction[25,1]",1220.1868786455925,2.453022207705544,150.64705578011217,943.4256515467906,1115.3906775304026,1213.4542682176566,1319.0992054254461,1528.8808729436926,3771.53668763204,0.9994789848973351
"prediction[26,1]",1409.406054217531,2.9735612820175605,183.9260787918687,1074.915879324688,1281.7425715397621,1402.8449928188556,1531.0183087913815,1785.8265912362253,3825.8931554693895,0.9995062306250162
"prediction[27,1]",1502.9134310030254,3.383393285840086,210.5940742671407,1120.589621654916,1358.7240400659505,1492.144438140046,1643.5539569578168,1933.7030573705824,3874.2471948260254,0.9995049297476227
"prediction[28,1]",1570.7880377841373,3.8116346387789086,237.97753602323564,1140.6831783314585,1403.5083214636406,1560.142700135359,1728.2695034972528,2061.2550398227395,3898.0678768453467,0.9995118302062249
