,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.118339258478096,0.007343708833447497,0.43301909030275565,2.366664587203165,2.8105017918846498,3.087090197317914,3.381739427576147,4.048879585686581,3476.827849752748,0.9997664931862631
mu[2],3.368358202978621,0.003477034870693106,0.1923929394909557,3.0230018812861665,3.2309653335949418,3.359074419487321,3.493015250613307,3.783183036208435,3061.68261248077,0.9998203296987216
mu[3],3.5251721339353073,0.006144599877577552,0.33988889028577945,2.9229635840855424,3.2913556551674468,3.5093076223149025,3.740565211955256,4.238933292348472,3059.7554915804517,1.0011565661094728
mu[4],3.803881559507591,0.004984297405368407,0.27931799932739987,3.308797348186804,3.6063269546329186,3.786363143615161,3.978637902013279,4.408761256640135,3140.436013728469,0.9992886344741246
mu[5],3.0875290688177315,0.005064443094985582,0.25486202976275923,2.6664908102535216,2.9150318719614683,3.057312123820199,3.2306953360774564,3.6880217576119936,2532.4850121705504,1.001654846624946
mu[6],3.8614723323836566,0.0048101844015524635,0.2622784533278152,3.39537991469921,3.681102573459276,3.8390167437121283,4.022810807550397,4.439056152012225,2973.0470115185803,1.0007461413471908
mu[7],3.0237022714423483,0.00904428694119589,0.5518482967146768,2.071876434665262,2.629303248897945,2.9791303795145705,3.3717023095956593,4.21008762049043,3722.980384463245,1.000206200974406
mu[8],4.188931054304973,0.00923914650763213,0.5222810264222343,3.315819124769916,3.8259717784820153,4.1303866309433666,4.4917229449722385,5.356996715097782,3195.543914021334,0.9999500420877712
mu[9],3.176305325355396,0.009185432018913938,0.5597083589826362,2.2352744206948505,2.7756636087951336,3.123380302275886,3.5128022787626976,4.411894557283467,3712.9954005331606,1.0020866342341006
mu[10],3.233249931760084,0.005414885349532969,0.31574235292041336,2.679492002954633,3.010077157528278,3.2142748335808218,3.433147095344668,3.909156372903696,3400.064460407119,0.9993266148936882
mu[11],2.6702220581785006,0.004722566834681998,0.2715492005117584,2.203236715535863,2.4809267643080686,2.644329279506103,2.833902918647676,3.290169396828067,3306.289145039374,1.000278883253199
alpha[1],0.07977669200455213,0.0017954793060517772,0.10573660882083288,8.345127024743238e-05,0.008142497825322767,0.03814882955377735,0.10931412075228554,0.385375278944793,3468.086709795156,1.0004987883358691
alpha[2],3.3092768143349804,0.01014745829277893,0.55939065292442,2.2160592249172835,2.9406212423697022,3.314030102534658,3.67277197183336,4.4276812691824015,3038.8961617973573,1.0021133162749818
alpha[3],0.08396580864233506,0.0019120631907568256,0.11011956985045146,6.418206051267296e-05,0.009432348993103582,0.03994840631738064,0.11849152449776329,0.3996882991976991,3316.8400644979165,1.0024542365908282
alpha[4],0.08902627747409772,0.0020700089009689955,0.121861770956,6.457176838121447e-05,0.008688332962820552,0.041577680048665716,0.12082710301732419,0.4540523053928262,3465.69663452979,0.9997390206805972
alpha[5],0.23232508950326305,0.005258205369426188,0.31410368828761187,0.00024499790916200306,0.025251098468842936,0.10898978336638529,0.320897681313385,1.1098280867112151,3568.3790702671736,1.0000546385906726
kappa,1.004064304886098,0.0039061715063305785,0.21977399435126255,0.6364004461214003,0.8524059510279989,0.9779084663742778,1.1343645252038015,1.4871757094011853,3165.5559032422616,1.0014170506096192
y[1],58.156215987919886,0.5254552796404435,32.02262809302826,16.590677293037615,35.29313809137429,51.753392070769465,72.85420663201009,141.43072865502995,3714.004477072648,0.9994777706218263
y[2],25.545664659270006,0.155924084765357,9.648930321950562,11.161104569172627,18.61792868217231,23.91165302408136,30.87537462739683,49.11228170551064,3829.4105850041947,0.9993614614519525
y[3],13.651088109406547,0.13489006378353272,7.811045170100869,3.9866576062558785,8.223595462826276,11.839362291452218,16.946792083822967,33.79261848025938,3353.191669035723,1.0004292666062653
y[4],48.75464860394914,0.36047851088987354,21.63911931485256,18.27330420278635,33.36352172057626,44.70024055372237,59.70655938224556,102.261035172529,3603.4657819622657,0.9990039929133401
y[5],52.88176282842812,0.372562300508347,21.188699720752208,20.426868964864646,38.27758118120804,50.09957494085227,64.53515771081454,102.94319010554167,3234.5271391487872,1.000717174359234
